Char   Codepoint     Frequency   Percentage
孩      U+05B69           1007        0.10%
别      U+0522B           1002        0.10%
尽      U+05C3D           1002        0.10%
从      U+04ECE            992        0.10%
杨      U+06768            989        0.10%
敢      U+06562            988        0.10%
四      U+056DB            987        0.10%
贤      U+08D24            987        0.10%
更      U+066F4            977        0.10%
西      U+0897F            972        0.10%
还      U+08FD8            969        0.10%
世      U+04E16            954        0.10%
流      U+06D41            953        0.10%
眼      U+0773C            953        0.10%
弟      U+05F1F            951        0.10%
重      U+091CD            945        0.10%
父      U+07236            939        0.10%
望      U+0671B            933        0.10%
先      U+05148            932        0.10%
断      U+065AD            931        0.10%
阳      U+09633            931        0.10%
龙      U+09F99            931        0.10%
军      U+0519B            927        0.10%
郎      U+090CE            924        0.09%
南      U+05357            921        0.09%
煞      U+0715E            921        0.09%
太      U+0592A            911        0.09%
厮      U+053AE            907        0.09%
衣      U+08863            902        0.09%
满      U+06EE1            895        0.09%
空      U+07A7A            894        0.09%
手      U+0624B            881        0.09%
须      U+0987B            878        0.09%
受      U+053D7            876        0.09%
楼      U+0697C            876        0.09%
百      U+0767E            876        0.09%
笑      U+07B11            876        0.09%
母      U+06BCD            874        0.09%
尾      U+05C3E            869        0.09%
乐      U+04E50            863        0.09%
等      U+07B49            863        0.09%
五      U+04E94            862        0.09%
起      U+08D77            862        0.09%
口      U+053E3            860        0.09%
新      U+065B0            859        0.09%
少      U+05C11            856        0.09%
雪      U+096EA            840        0.09%
者      U+08005            832        0.09%
面      U+09762            828        0.08%
兄      U+05144            824        0.08%
再      U+0518D            824        0.08%
命      U+0547D            822        0.08%
每      U+06BCF            813        0.08%
飞      U+098DE            809        0.08%
本      U+0672C            807        0.08%
恩      U+06069            805        0.08%
丹      U+04E39            804        0.08%
然      U+07136            803        0.08%
秀      U+079C0            800        0.08%
台      U+053F0            796        0.08%
州      U+05DDE            795        0.08%
伯      U+04F2F            794        0.08%
能      U+080FD            794        0.08%
堂      U+05802            791        0.08%
德      U+05FB7            791        0.08%
对      U+05BF9            790        0.08%
宫      U+05BAB            788        0.08%
海      U+06D77            788        0.08%
信      U+04FE1            787        0.08%
非      U+0975E            787        0.08%
寒      U+05BD2            786        0.08%
住      U+04F4F            784        0.08%
平      U+05E73            784        0.08%
锦      U+09526            782        0.08%
景      U+0666F            775        0.08%
没      U+06CA1            769        0.08%
实      U+05B9E            765        0.08%
寻      U+05BFB            765        0.08%
歌      U+06B4C            764        0.08%
姐      U+059D0            763        0.08%
路      U+08DEF            761        0.08%
翠      U+07FE0            760        0.08%
真      U+0771F            752        0.08%
直      U+076F4            751        0.08%
苦      U+082E6            747        0.08%
婆      U+05A46            746        0.08%
向      U+05411            744        0.08%
诗      U+08BD7            742        0.08%
波      U+06CE2            741        0.08%
绣      U+07EE3            741        0.08%
定      U+05B9A            740        0.08%
倒      U+05012            738        0.08%
草      U+08349            730        0.07%
就      U+05C31            728        0.07%
桃      U+06843            728        0.07%
孤      U+05B64            727        0.07%
点      U+070B9            726        0.07%
莫      U+083AB            726        0.07%
学      U+05B66            722        0.07%
古      U+053E4            715        0.07%
净      U+051C0            713        0.07%
莺      U+083BA            712        0.07%
喜      U+0559C            709        0.07%
梅      U+06885            708        0.07%
罗      U+07F57            706        0.07%
泪      U+06CEA            704        0.07%
国      U+056FD            702        0.07%
破      U+07834            701        0.07%
孙      U+05B59            697        0.07%
庭      U+05EAD            694        0.07%
却      U+05374            693        0.07%
送      U+09001            691        0.07%
士      U+058EB            690        0.07%
画      U+0753B            688        0.07%
郑      U+090D1            684        0.07%
争      U+04E89            683        0.07%
常      U+05E38            683        0.07%
因      U+056E0            681        0.07%
走      U+08D70            680        0.07%
吃      U+05403            675        0.07%
功      U+0529F            670        0.07%
未      U+0672A            667        0.07%
唐      U+05510            664        0.07%
度      U+05EA6            660        0.07%
放      U+0653E            656        0.07%
入      U+05165            653        0.07%
凤      U+051E4            649        0.07%
妻      U+059BB            649        0.07%
主      U+04E3B            645        0.07%
罢      U+07F62            643        0.07%
使      U+04F7F            640        0.07%
被      U+088AB            640        0.07%
报      U+062A5            637        0.07%
师      U+05E08            636        0.07%
石      U+077F3            636        0.07%
腔      U+08154            635        0.07%
枝      U+0679D            630        0.06%
叶      U+053F6            629        0.06%
恰      U+06070            629        0.06%
索      U+07D22            629        0.06%
荆      U+08346            629        0.06%
边      U+08FB9            619        0.06%
内      U+05185            617        0.06%
谢      U+08C22            615        0.06%
随      U+0968F            615        0.06%
管      U+07BA1            611        0.06%
钗      U+09497            610        0.06%
魂      U+09B42            610        0.06%
英      U+082F1            609        0.06%
方      U+065B9            604        0.06%
取      U+053D6            601        0.06%
状      U+072B6            599        0.06%
留      U+07559            599        0.06%
幺      U+05E7A            598        0.06%
恨      U+06068            597        0.06%
消      U+06D88            596        0.06%
智      U+0667A            595        0.06%
深      U+06DF1            590        0.06%
皇      U+07687            587        0.06%
共      U+05171            586        0.06%
干      U+05E72            586        0.06%
烟      U+070DF            582        0.06%
缘      U+07F18            581        0.06%
尘      U+05C18            578        0.06%
眉      U+07709            576        0.06%
兀      U+05140            574        0.06%
比      U+06BD4            571        0.06%
场      U+0573A            570        0.06%
田      U+07530            570        0.06%
发      U+053D1            568        0.06%
且      U+04E14            567        0.06%
恁      U+06041            564        0.06%
第      U+07B2C            564        0.06%
赵      U+08D75            562        0.06%
窗      U+07A97            561        0.06%
端      U+07AEF            561        0.06%
虎      U+0864E            560        0.06%
语      U+08BED            560        0.06%
强      U+05F3A            559        0.06%
首      U+09996            559        0.06%
施      U+065BD            558        0.06%
仲      U+04EF2            557        0.06%
愿      U+0613F            557        0.06%
甫      U+0752B            556        0.06%
致      U+081F4            556        0.06%
轻      U+08F7B            555        0.06%
雁      U+096C1            555        0.06%
冤      U+051A4            554        0.06%
周      U+05468            550        0.06%
肯      U+080AF            549        0.06%
银      U+094F6            549        0.06%
数      U+06570            548        0.06%
斗      U+06597            544        0.06%
萧      U+08427            544        0.06%
欢      U+06B22            541        0.06%
奴      U+05974            540        0.06%
幽      U+05E7D            537        0.06%
拜      U+062DC            537        0.06%
民      U+06C11            536        0.06%
冷      U+051B7            534        0.05%
节      U+08282            534        0.05%
交      U+04EA4            530        0.05%
应      U+05E94            529        0.05%
动      U+052A8            528        0.05%
圣      U+05723            528        0.05%
步      U+06B65            528        0.05%
洞      U+06D1E            526        0.05%
府      U+05E9C            524        0.05%
绿      U+07EFF            522        0.05%
初      U+0521D            521        0.05%
请      U+08BF7            521        0.05%
您      U+060A8            519        0.05%
娇      U+05A07            518        0.05%
祖      U+07956            518        0.05%
收      U+06536            517        0.05%
用      U+07528            517        0.05%
秦      U+079E6            517        0.05%
色      U+08272            513        0.05%
九      U+04E5D            512        0.05%
暗      U+06697            511        0.05%
怀      U+06000            510        0.05%
燕      U+071D5            509        0.05%
乡      U+04E61            507        0.05%
字      U+05B57            505        0.05%
梁      U+06881            505        0.05%
旧      U+065E7            502        0.05%
火      U+0706B            502        0.05%
病      U+075C5            502        0.05%
义      U+04E49            501        0.05%
妇      U+05987            501        0.05%
客      U+05BA2            501        0.05%
兵      U+05175            500        0.05%
蔡      U+08521            499        0.05%
宾      U+05BBE            498        0.05%
紫      U+07D2B            497        0.05%
陈      U+09648            491        0.05%
七      U+04E03            488        0.05%
楚      U+0695A            485        0.05%
散      U+06563            483        0.05%
妆      U+05986            482        0.05%
粉      U+07C89            481        0.05%
叫      U+053EB            480        0.05%
指      U+06307            480        0.05%
尚      U+05C1A            479        0.05%
残      U+06B8B            478        0.05%
六      U+0516D            477        0.05%
理      U+07406            477        0.05%
作      U+04F5C            475        0.05%
狗      U+072D7            475        0.05%
其      U+05176            473        0.05%
华      U+0534E            470        0.05%
战      U+06218            469        0.05%
传      U+04F20            466        0.05%
包      U+05305            466        0.05%
琶      U+07436            465        0.05%
故      U+06545            464        0.05%
赏      U+08D4F            464        0.05%
布      U+05E03            463        0.05%
美      U+07F8E            463        0.05%
快      U+05FEB            462        0.05%
折      U+06298            462        0.05%
林      U+06797            462        0.05%
村      U+06751            461        0.05%
良      U+0826F            461        0.05%
亭      U+04EAD            459        0.05%
呀      U+05440            459        0.05%
往      U+05F80            459        0.05%
转      U+08F6C            459        0.05%
量      U+091CF            459        0.05%
活      U+06D3B            458        0.05%
齐      U+09F50            458        0.05%
全      U+05168            457        0.05%
由      U+07531            456        0.05%
迟      U+08FDF            455        0.05%
城      U+057CE            454        0.05%
立      U+07ACB            452        0.05%
肠      U+080A0            449        0.05%
紧      U+07D27            448        0.05%
连      U+08FDE            446        0.05%
阴      U+09634            446        0.05%
孝      U+05B5D            445        0.05%
朱      U+06731            445        0.05%
刀      U+05200            444        0.05%
哩      U+054E9            444        0.05%
救      U+06551            444        0.05%
伤      U+04F24            442        0.05%
八      U+0516B            442        0.05%
琵      U+07435            442        0.05%
胜      U+080DC            442        0.05%
兴      U+05174            440        0.05%
爱      U+07231            440        0.05%
宝      U+05B9D            439        0.05%
影      U+05F71            439        0.05%
惊      U+060CA            438        0.04%
认      U+08BA4            438        0.04%
怨      U+06028            437        0.04%
独      U+072EC            437        0.04%
守      U+05B88            436        0.04%
经      U+07ECF            436        0.04%
闹      U+095F9            432        0.04%
礼      U+0793C            431        0.04%
胡      U+080E1            429        0.04%
话      U+08BDD            428        0.04%
贵      U+08D35            428        0.04%
临      U+04E34            427        0.04%
性      U+06027            427        0.04%
坐      U+05750            426        0.04%
房      U+0623F            425        0.04%
游      U+06E38            424        0.04%
目      U+076EE            424        0.04%
觑      U+089D1            424        0.04%
鸾      U+09E3E            423        0.04%
居      U+05C45            422        0.04%
容      U+05BB9            421        0.04%
鬼      U+09B3C            421        0.04%
闺      U+095FA            419        0.04%
论      U+08BBA            418        0.04%
星      U+0661F            417        0.04%
鱼      U+09C7C            417        0.04%
图      U+056FE            416        0.04%
桥      U+06865            414        0.04%
举      U+04E3E            413        0.04%
柯      U+067EF            413        0.04%
树      U+06811            413        0.04%
枕      U+06795            411        0.04%
堪      U+0582A            410        0.04%
珠      U+073E0            410        0.04%
瑞      U+0745E            410        0.04%
芳      U+082B3            410        0.04%
写      U+05199            408        0.04%
越      U+08D8A            408        0.04%
乔      U+04E54            407        0.04%
院      U+09662            407        0.04%
武      U+06B66            406        0.04%
细      U+07EC6            406        0.04%
灵      U+07075            404        0.04%
音      U+097F3            403        0.04%
至      U+081F3            402        0.04%
贫      U+08D2B            402        0.04%
晚      U+0665A            401        0.04%
蝶      U+08776            401        0.04%
依      U+04F9D            400        0.04%
沉      U+06C89            398        0.04%
疏      U+0758F            398        0.04%
忙      U+05FD9            397        0.04%
乱      U+04E71            396        0.04%
必      U+05FC5            396        0.04%
计      U+08BA1            395        0.04%
足      U+08DB3            395        0.04%
徐      U+05F90            394        0.04%
舍      U+0820D            394        0.04%
丑      U+04E11            393        0.04%
喈      U+05588            393        0.04%
饮      U+0996E            393        0.04%
富      U+05BCC            390        0.04%
鸳      U+09E33            389        0.04%
汤      U+06C64            388        0.04%
睡      U+07761            386        0.04%
登      U+0767B            384        0.04%
虚      U+0865A            384        0.04%
害      U+05BB3            383        0.04%
舞      U+0821E            383        0.04%
船      U+08239            383        0.04%
但      U+04F46            382        0.04%
怜      U+0601C            382        0.04%
急      U+06025            382        0.04%
程      U+07A0B            382        0.04%
茶      U+08336            381        0.04%
章      U+07AE0            380        0.04%
众      U+04F17            377        0.04%
园      U+056ED            377        0.04%
昏      U+0660F            376        0.04%
福      U+0798F            376        0.04%
推      U+063A8            375        0.04%
养      U+0517B            374        0.04%
引      U+05F15            374        0.04%
杯      U+0676F            374        0.04%
低      U+04F4E            373        0.04%
灯      U+0706F            373        0.04%
倚      U+0501A            372        0.04%
莲      U+083B2            372        0.04%
沙      U+06C99            371        0.04%
协      U+0534F            370        0.04%
并      U+05E76            370        0.04%
近      U+08FD1            370        0.04%
买      U+04E70            369        0.04%
题      U+09898            369        0.04%
劳      U+052B3            368        0.04%
嫂      U+05AC2            368        0.04%
枉      U+06789            368        0.04%
篇      U+07BC7            368        0.04%
罪      U+07F6A            368        0.04%
原      U+0539F            367        0.04%
底      U+05E95            367        0.04%
志      U+05FD7            367        0.04%
曲      U+066F2            367        0.04%
贾      U+08D3E            367        0.04%
雄      U+096C4            367        0.04%
延      U+05EF6            366        0.04%
显      U+0663E            366        0.04%
湖      U+06E56            366        0.04%
赚      U+08D5A            366        0.04%
久      U+04E45            365        0.04%
物      U+07269            365        0.04%
通      U+0901A            365        0.04%
寄      U+05BC4            364        0.04%
穷      U+07A77            364        0.04%
告      U+0544A            361        0.04%
姓      U+059D3            360        0.04%
忘      U+05FD8            360        0.04%
啼      U+0557C            359        0.04%
飘      U+098D8            359        0.04%
于      U+04E8E            358        0.04%
承      U+0627F            357        0.04%
铁      U+094C1            357        0.04%
兰      U+05170            355        0.04%
误      U+08BEF            355        0.04%
唤      U+05524            354        0.04%
结      U+07ED3            354        0.04%
钟      U+0949F            354        0.04%
松      U+0677E            353        0.04%
吾      U+0543E            352        0.04%
力      U+0529B            351        0.04%
河      U+06CB3            349        0.04%
碧      U+078A7            349        0.04%
已      U+05DF2            348        0.04%
暮      U+066AE            348        0.04%
番      U+0756A            348        0.04%
迷      U+08FF7            347        0.04%
墙      U+05899            346        0.04%
拿      U+062FF            346        0.04%
野      U+091CE            346        0.04%
竹      U+07AF9            345        0.04%
芦      U+082A6            345        0.04%
感      U+0611F            344        0.04%
脱      U+08131            344        0.04%
排      U+06392            343        0.04%
邱      U+090B1            341        0.03%
封      U+05C01            340        0.03%
团      U+056E2            339        0.03%
闷      U+095F7            339        0.03%
爹      U+07239            338        0.03%
负      U+08D1F            338        0.03%
殿      U+06BBF            337        0.03%
贼      U+08D3C            337        0.03%
除      U+09664            337        0.03%
利      U+05229            336        0.03%
姻      U+059FB            336        0.03%
虽      U+0867D            336        0.03%
劝      U+0529D            335        0.03%
卖      U+05356            335        0.03%
法      U+06CD5            335        0.03%
赴      U+08D74            335        0.03%
遇      U+09047            335        0.03%
兔      U+05154            334        0.03%
叔      U+053D4            334        0.03%
投      U+06295            334        0.03%
烧      U+070E7            334        0.03%
许      U+08BB8            334        0.03%
骨      U+09AA8            334        0.03%
扶      U+06276            333        0.03%
背      U+080CC            332        0.03%
丝      U+04E1D            331        0.03%
脚      U+0811A            331        0.03%
藏      U+085CF            331        0.03%
仁      U+04EC1            330        0.03%
叹      U+053F9            329        0.03%
解      U+089E3            329        0.03%
庆      U+05E86            328        0.03%
既      U+065E2            328        0.03%
添      U+06DFB            328        0.03%
羞      U+07F9E            328        0.03%
哎      U+054CE            327        0.03%
宜      U+05B9C            327        0.03%
岁      U+05C81            327        0.03%
哭      U+054ED            326        0.03%
奈      U+05948            326        0.03%
恼      U+0607C            326        0.03%
池      U+06C60            326        0.03%
佳      U+04F73            325        0.03%
北      U+05317            323        0.03%
凉      U+051C9            322        0.03%
岳      U+05CB3            322        0.03%
忧      U+05FE7            322        0.03%
财      U+08D22            322        0.03%
遍      U+0904D            322        0.03%
孔      U+05B54            321        0.03%
片      U+07247            321        0.03%
逢      U+09022            321        0.03%
悲      U+060B2            320        0.03%
瘦      U+07626            320        0.03%
勾      U+052FE            319        0.03%
宴      U+05BB4            319        0.03%
差      U+05DEE            319        0.03%
念      U+05FF5            319        0.03%
滚      U+06EDA            319        0.03%
苏      U+082CF            318        0.03%
遭      U+0906D            318        0.03%
招      U+062DB            317        0.03%
识      U+08BC6            316        0.03%
车      U+08F66            316        0.03%
任      U+04EFB            315        0.03%
员      U+05458            315        0.03%
寿      U+05BFF            315        0.03%
滴      U+06EF4            313        0.03%
吹      U+05439            312        0.03%
惠      U+060E0            312        0.03%
温      U+06E29            311        0.03%
恶      U+06076            310        0.03%
偏      U+0504F            309        0.03%
制      U+05236            309        0.03%
挂      U+06302            308        0.03%
机      U+0673A            308        0.03%
垂      U+05782            306        0.03%
帘      U+05E18            306        0.03%
期      U+0671F            306        0.03%
牛      U+0725B            306        0.03%
琴      U+07434            306        0.03%
祥      U+07965            305        0.03%
侯      U+04FAF            304        0.03%
韩      U+097E9            304        0.03%
剑      U+05251            303        0.03%
镜      U+0955C            303        0.03%
阵      U+09635            303        0.03%
腰      U+08170            302        0.03%
岂      U+05C82            300        0.03%
淡      U+06DE1            300        0.03%
食      U+098DF            299        0.03%
圆      U+05706            298        0.03%
药      U+0836F            297        0.03%
壁      U+058C1            296        0.03%
隔      U+09694            296        0.03%
穿      U+07A7F            295        0.03%
闻      U+095FB            295        0.03%
舟      U+0821F            294        0.03%
皮      U+076AE            293        0.03%
丈      U+04E08            292        0.03%
纸      U+07EB8            292        0.03%
载      U+08F7D            292        0.03%
弄      U+05F04            291        0.03%
疾      U+075BE            291        0.03%
省      U+07701            291        0.03%
袖      U+08896            291        0.03%
鸯      U+09E2F            291        0.03%
样      U+06837            290        0.03%
顺      U+0987A            290        0.03%
微      U+05FAE            289        0.03%
鼓      U+09F13            289        0.03%
司      U+053F8            288        0.03%
凄      U+051C4            287        0.03%
凭      U+051ED            287        0.03%
嫁      U+05AC1            287        0.03%
荣      U+08363            286        0.03%
痛      U+075DB            285        0.03%
慢      U+06162            284        0.03%
锁      U+09501            284        0.03%
羊      U+07F8A            283        0.03%
屠      U+05C60            282        0.03%
接      U+063A5            282        0.03%
葫      U+0846B            281        0.03%
阁      U+09601            281        0.03%
忠      U+05FE0            280        0.03%
吴      U+05434            279        0.03%
友      U+053CB            278        0.03%
吉      U+05409            278        0.03%
善      U+05584            278        0.03%
扬      U+0626C            278        0.03%
衫      U+0886B            278        0.03%
鞭      U+097AD            278        0.03%
卜      U+0535C            277        0.03%
魔      U+09B54            277        0.03%
绝      U+07EDD            276        0.03%
露      U+09732            276        0.03%
句      U+053E5            275        0.03%
进      U+08FDB            275        0.03%
陵      U+09675            275        0.03%
浪      U+06D6A            273        0.03%
伴      U+04F34            272        0.03%
史      U+053F2            272        0.03%
存      U+05B58            272        0.03%
庄      U+05E84            271        0.03%
私      U+079C1            271        0.03%
伊      U+04F0A            270        0.03%
亡      U+04EA1            269        0.03%
修      U+04FEE            269        0.03%
霜      U+0971C            269        0.03%
鞋      U+0978B            269        0.03%
颜      U+0989C            269        0.03%
化      U+05316            268        0.03%
晓      U+06653            268        0.03%
薄      U+08584            268        0.03%
提      U+063D0            266        0.03%
苍      U+082CD            266        0.03%
觉      U+089C9            266        0.03%
遥      U+09065            265        0.03%
采      U+091C7            265        0.03%
孟      U+05B5F            264        0.03%
尹      U+05C39            264        0.03%
盏      U+076CF            264        0.03%
赤      U+08D64            264        0.03%
单      U+05355            263        0.03%
球      U+07403            263        0.03%
范      U+08303            263        0.03%
观      U+089C2            263        0.03%
木      U+06728            262        0.03%
而      U+0800C            262        0.03%
吟      U+0541F            261        0.03%
途      U+09014            260        0.03%
付      U+04ED8            259        0.03%
踏      U+08E0F            259        0.03%
保      U+04FDD            258        0.03%
卧      U+05367            258        0.03%
街      U+08857            258        0.03%
梧      U+068A7            256        0.03%
犯      U+072AF            256        0.03%
参      U+053C2            255        0.03%
饭      U+0996D            255        0.03%
冰      U+051B0            254        0.03%
席      U+05E2D            254        0.03%
童      U+07AE5            254        0.03%
静      U+09759            254        0.03%
及      U+053CA            253        0.03%
威      U+05A01            253        0.03%
辞      U+08F9E            253        0.03%
陶      U+09676            253        0.03%
卷      U+05377            252        0.03%
配      U+0914D            252        0.03%
土      U+0571F            251        0.03%
夺      U+0593A            251        0.03%
川      U+05DDD            251        0.03%
根      U+06839            251        0.03%
磨      U+078E8            251        0.03%
鬓      U+09B13            251        0.03%
乌      U+04E4C            250        0.03%
渔      U+06E14            250        0.03%
列      U+05217            249        0.03%
所      U+06240            249        0.03%
皆      U+07686            249        0.03%
词      U+08BCD            248        0.03%
错      U+09519            248        0.03%
男      U+07537            247        0.03%
奉      U+05949            246        0.03%
宋      U+05B8B            246        0.03%
欲      U+06B32            246        0.03%
爷      U+07237            246        0.03%
诸      U+08BF8            246        0.03%
迎      U+08FCE            246        0.03%
降      U+0964D            246        0.03%
免      U+0514D            245        0.03%
势      U+052BF            245        0.03%
条      U+06761            245        0.03%
绛      U+07EDB            245        0.03%
试      U+08BD5            245        0.03%
伏      U+04F0F            244        0.03%
帝      U+05E1D            244        0.03%
脸      U+08138            244        0.03%
怪      U+0602A            243        0.02%
敬      U+0656C            243        0.02%
终      U+07EC8            243        0.02%
唇      U+05507            242        0.02%
忒      U+05FD2            242        0.02%
果      U+0679C            242        0.02%
烦      U+070E6            242        0.02%
牢      U+07262            242        0.02%
鲁      U+09C81            242        0.02%
以      U+04EE5            241        0.02%
妾      U+059BE            241        0.02%
户      U+06237            241        0.02%
醒      U+09192            241        0.02%
隐      U+09690            241        0.02%
领      U+09886            241        0.02%
持      U+06301            240        0.02%
甘      U+07518            239        0.02%
体      U+04F53            238        0.02%
商      U+05546            238        0.02%
支      U+0652F            238        0.02%
权      U+06743            238        0.02%
阑      U+09611            238        0.02%
壶      U+058F6            237        0.02%
倘      U+05018            236        0.02%
角      U+089D2            236        0.02%
勘      U+052D8            235        0.02%
埋      U+057CB            235        0.02%
忍      U+05FCD            235        0.02%
油      U+06CB9            235        0.02%
盼      U+076FC            235        0.02%
恋      U+0604B            234        0.02%
杜      U+0675C            234        0.02%
盘      U+076D8            234        0.02%
僧      U+050E7            232        0.02%
困      U+056F0            232        0.02%
浮      U+06D6E            232        0.02%
横      U+06A2A            230        0.02%
