Char   Codepoint     Frequency
問      U+0554F          25238
紅      U+07D05          25000
學      U+05B78          24953
休      U+04F11          24882
存      U+05B58          24797
葉      U+08449          24750
泉      U+06CC9          24495
會      U+06703          24378
頌      U+0980C          24272
来      U+06765          24266
蘇      U+08607          24220
眼      U+0773C          24202
孤      U+05B64          24150
霜      U+0971C          24079
木      U+06728          24044
朱      U+06731          23994
仲      U+04EF2          23970
語      U+08A9E          23847
宋      U+05B8B          23722
翁      U+07FC1          23622
翠      U+07FE0          23573
逢      U+09022          23438
豈      U+08C48          23348
常      U+05E38          23301
芳      U+082B3          23199
許      U+08A31          23190
陰      U+09670          22979
只      U+053EA          22941
令      U+04EE4          22908
碧      U+078A7          22741
隨      U+096A8          22481
池      U+06C60          22471
宮      U+05BAE          22253
影      U+05F71          22164
微      U+05FAE          22106
共      U+05171          21990
久      U+04E45          21957
園      U+05712          21909
暮      U+066AE          21892
著      U+08457          21868
河      U+06CB3          21842
辭      U+08FAD          21812
閑      U+09591          21782
手      U+0624B          21768
經      U+07D93          21757
於      U+065BC          21742
邊      U+0908A          21742
露      U+09732          21730
紫      U+07D2B          21657
照      U+07167          21599
近      U+08FD1          21591
波      U+06CE2          21581
謝      U+08B1D          21581
通      U+0901A          21553
詠      U+08A60          21382
且      U+04E14          21324
立      U+07ACB          21249
田      U+07530          21103
病      U+075C5          21058
集      U+096C6          20962
都      U+090FD          20897
了      U+04E86          20879
吹      U+05439          20874
主      U+04E3B          20750
感      U+0611F          20626
韓      U+097D3          20616
丹      U+04E39          20583
賦      U+08CE6          20565
定      U+05B9A          20538
才      U+0624D          20529
志      U+05FD7          20521
窗      U+07A97          20432
對      U+05C0D          20420
韵      U+097F5          20404
唐      U+05510          20350
早      U+065E9          20293
直      U+076F4          20281
兮      U+0516E          20275
却      U+05374          20228
氏      U+06C0F          20182
便      U+04FBF          20165
煙      U+07159          20151
沙      U+06C99          20122
浮      U+06D6E          20120
臨      U+081E8          20112
内      U+05185          20094
足      U+08DB3          20005
說      U+08AAA          19978
宿      U+05BBF          19929
苦      U+082E6          19909
陵      U+09675          19863
皇      U+07687          19768
信      U+04FE1          19708
臣      U+081E3          19667
終      U+07D42          19649
徐      U+05F90          19524
端      U+07AEF          19503
數      U+06578          19460
史      U+053F2          19427
川      U+05DDD          19344
胡      U+080E1          19233
臺      U+081FA          19215
依      U+04F9D          19181
孫      U+05B6B          19135
合      U+05408          19092
僧      U+050E7          19069
烟      U+070DF          18991
度      U+05EA6          18958
往      U+05F80          18892
尋      U+05C0B          18816
覺      U+089BA          18796
要      U+08981          18702
詞      U+08A5E          18694
第      U+07B2C          18635
漢      U+06F22          18590
勝      U+052DD          18558
期      U+0671F          18495
府      U+05E9C          18471
含      U+0542B          18417
卿      U+0537F          18412
功      U+0529F          18352
待      U+05F85          18324
裏      U+088CF          18302
諸      U+08AF8          18287
驚      U+09A5A          18228
晴      U+06674          18159
杜      U+0675C          18105
雜      U+096DC          18074
靈      U+09748          18036
忽      U+05FFD          17965
鳥      U+09CE5          17932
即      U+05373          17908
他      U+04ED6          17800
及      U+053CA          17800
閣      U+095A3          17740
洞      U+06D1E          17704
介      U+04ECB          17676
鄉      U+09109          17654
恨      U+06068          17624
武      U+06B66          17586
星      U+0661F          17570
畫      U+0756B          17563
節      U+07BC0          17538
伯      U+04F2F          17533
離      U+096E2          17526
關      U+095DC          17426
解      U+089E3          17413
友      U+053CB          17384
桃      U+06843          17362
兒      U+05152          17350
魚      U+09B5A          17316
峰      U+05CF0          17168
求      U+06C42          17142
词      U+08BCD          17125
夕      U+05915          17083
奉      U+05949          17062
燕      U+071D5          16953
輕      U+08F15          16930
巖      U+05DD6          16902
綠      U+07DA0          16873
守      U+05B88          16815
那      U+090A3          16794
