Char   Codepoint     Frequency
拔      U+062D4           2021
经      U+07ECF           2018
庾      U+05EBE           2016
簇      U+07C07           2016
观      U+089C2           2014
儲      U+05132           2013
齐      U+09F50           2012
斧      U+065A7           2010
幻      U+05E7B           2010
荔      U+08354           2009
哲      U+054F2           2008
寰      U+05BF0           2006
抵      U+062B5           2005
蔽      U+0853D           1999
救      U+06551           1996
覿      U+089BF           1996
颜      U+0989C           1995
煌      U+0714C           1995
僅      U+050C5           1995
孺      U+05B7A           1991
閨      U+095A8           1991
炊      U+0708A           1990
猛      U+0731B           1989
憔      U+06194           1988
鋪      U+092EA           1987
酸      U+09178           1979
结      U+07ED3           1977
襲      U+08972           1975
拋      U+062CB           1973
绕      U+07ED5           1964
淑      U+06DD1           1963
剩      U+05269           1961
帷      U+05E37           1958
劫      U+052AB           1957
衲      U+08872           1956
頼      U+0983C           1956
簟      U+07C1F           1950
伤      U+04F24           1944
焦      U+07126           1943
莲      U+083B2           1943
鯨      U+09BE8           1942
突      U+07A81           1939
贤      U+08D24           1937
烛      U+070DB           1937
練      U+07DF4           1936
勒      U+052D2           1935
楓      U+06953           1935
屯      U+05C6F           1933
邪      U+090AA           1931
唤      U+05524           1930
蒸      U+084B8           1929
臂      U+081C2           1927
煎      U+0714E           1924
悔      U+06094           1921
檢      U+06AA2           1918
嶠      U+05DA0           1918
庐      U+05E90           1917
槎      U+069CE           1917
豔      U+08C54           1917
载      U+08F7D           1913
芬      U+082AC           1910
茗      U+08317           1910
脂      U+08102           1908
廖      U+05ED6           1904
醫      U+091AB           1903
冤      U+051A4           1903
瀾      U+0703E           1897
藍      U+085CD           1896
黛      U+09EDB           1889
評      U+08A55           1888
鄙      U+09119           1887
逾      U+0903E           1887
檀      U+06A80           1887
嵐      U+05D50           1887
畦      U+07566           1884
肇      U+08087           1884
温      U+06E29           1884
梳      U+068B3           1883
頹      U+09839           1883
鶑      U+09D91           1879
蹇      U+08E47           1878
款      U+06B3E           1874
裂      U+088C2           1873
庸      U+05EB8           1872
盆      U+076C6           1872
熏      U+0718F           1872
式      U+05F0F           1870
陋      U+0964B           1870
磬      U+078EC           1870
啟      U+0555F           1869
署      U+07F72           1867
蘋      U+0860B           1867
謹      U+08B39           1864
緩      U+07DE9           1861
漕      U+06F15           1858
儻      U+0513B           1857
妓      U+05993           1854
蕙      U+08559           1853
菲      U+083F2           1851
某      U+067D0           1850
鑒      U+09452           1850
莎      U+0838E           1849
琅      U+07405           1848
鋒      U+092D2           1845
举      U+04E3E           1844
檐      U+06A90           1844
琶      U+07436           1844
務      U+052D9           1843
族      U+065CF           1838
慎      U+0614E           1838
貂      U+08C82           1838
氛      U+06C1B           1837
徧      U+05FA7           1835
箕      U+07B95           1834
戚      U+0621A           1832
滂      U+06EC2           1831
斟      U+0659F           1829
蟻      U+087FB           1829
稚      U+07A1A           1828
莽      U+083BD           1828
曳      U+066F3           1827
倍      U+0500D           1824
隐      U+09690           1824
劇      U+05287           1823
鮑      U+09B91           1820
蒿      U+084BF           1819
綴      U+07DB4           1819
钗      U+09497           1818
琵      U+07435           1817
幷      U+05E77           1817
油      U+06CB9           1815
翳      U+07FF3           1815
镜      U+0955C           1815
甕      U+07515           1814
钱      U+094B1           1813
杰      U+06770           1808
紗      U+07D17           1808
雾      U+096FE           1807
萼      U+0843C           1807
瘴      U+07634           1807
泂      U+06CC2           1805
稿      U+07A3F           1804
縷      U+07E37           1803
沼      U+06CBC           1802
害      U+05BB3           1802
苍      U+082CD           1802
梯      U+068AF           1802
艳      U+08273           1801
黯      U+09EEF           1800
剡      U+05261           1790
榜      U+0699C           1786
兆      U+05146           1785
朽      U+0673D           1785
鸳      U+09E33           1781
啄      U+05544           1775
伐      U+04F10           1773
昆      U+06606           1770
聳      U+08073           1770
躍      U+08E8D           1768
洒      U+06D12           1767
預      U+09810           1767
蕉      U+08549           1766
龐      U+09F90           1766
鞏      U+0978F           1763
师      U+05E08           1761
溶      U+06EB6           1759
姬      U+059EC           1756
裝      U+088DD           1756
识      U+08BC6           1755
慙      U+06159           1754
壶      U+058F6           1752
蘚      U+0861A           1752
抽      U+062BD           1750
肝      U+0809D           1746
赫      U+08D6B           1745
嫁      U+05AC1           1743
匪      U+0532A           1743
握      U+063E1           1740
髯      U+09AEF           1739
薪      U+085AA           1738
樊      U+06A0A           1738
藝      U+085DD           1735
宏      U+05B8F           1734
模      U+06A21           1732
眷      U+07737           1729
漾      U+06F3E           1729
鈎      U+0920E           1727
藩      U+085E9           1726
鸿      U+09E3F           1724
缕      U+07F15           1723
嘶      U+05636           1723
鬟      U+09B1F           1722
嶂      U+05D82           1721
醪      U+091AA           1720
杀      U+06740           1719
躬      U+08EAC           1714
壤      U+058E4           1713
庆      U+05E86           1713
豁      U+08C41           1711
鋤      U+092E4           1709
戟      U+0621F           1707
弔      U+05F14           1706
罢      U+07F62           1705
巍      U+05DCD           1704
捷      U+06377           1704
俎      U+04FCE           1704
匹      U+05339           1701
奚      U+0595A           1700
榆      U+06986           1700
姪      U+059EA           1699
报      U+062A5           1698
咫      U+054AB           1696
凈      U+051C8           1696
耆      U+08006           1694
蓑      U+084D1           1693
脈      U+08108           1693
宓      U+05B93           1689
礙      U+07919           1689
眺      U+0773A           1688
粗      U+07C97           1688
琦      U+07426           1686
獄      U+07344           1685
膽      U+081BD           1682
车      U+08F66           1679
逅      U+09005           1679
邂      U+09082           1678
沁      U+06C81           1677
獸      U+07378           1675
驥      U+09A65           1674
膝      U+0819D           1672
赋      U+08D4B           1670
倩      U+05029           1669
疲      U+075B2           1669
馨      U+099A8           1668
抃      U+06283           1667
牟      U+0725F           1666
题      U+09898           1665
捲      U+06372           1665
幼      U+05E7C           1664
没      U+06CA1           1662
榴      U+069B4           1659
拳      U+062F3           1658
敏      U+0654F           1657
麾      U+09EBE           1657
荀      U+08340           1656
逝      U+0901D           1653
艷      U+08277           1653
刊      U+0520A           1651
茵      U+08335           1651
瓢      U+074E2           1650
撰      U+064B0           1650
壞      U+058DE           1649
奠      U+05960           1649
溜      U+06E9C           1648
惱      U+060F1           1648
併      U+04F75           1648
种      U+079CD           1647
板      U+0677F           1646
鷹      U+09DF9           1646
频      U+09891           1645
赏      U+08D4F           1645
胥      U+080E5           1645
綬      U+07DAC           1645
敷      U+06577           1644
僻      U+050FB           1644
觞      U+089DE           1644
沽      U+06CBD           1644
峭      U+05CED           1643
央      U+0592E           1642
毒      U+06BD2           1642
蠟      U+0881F           1642
纤      U+07EA4           1641
庫      U+05EAB           1640
翬      U+07FEC           1640
螢      U+087A2           1638
僚      U+050DA           1637
祈      U+07948           1636
閤      U+095A4           1636
函      U+051FD           1635
终      U+07EC8           1632
斂      U+06582           1632
徙      U+05F99           1632
警      U+08B66           1632
鵝      U+09D5D           1630
翅      U+07FC5           1630
箫      U+07BAB           1630
恣      U+06063           1628
幅      U+05E45           1627
郢      U+090E2           1626
店      U+05E97           1624
劒      U+05292           1623
雛      U+096DB           1622
訓      U+08A13           1621
現      U+073FE           1620
準      U+06E96           1618
劝      U+0529D           1617
矜      U+077DC           1615
韩      U+097E9           1613
髻      U+09AFB           1612
笳      U+07B33           1612
疆      U+07586           1610
恁      U+06041           1610
嗔      U+055D4           1609
潁      U+06F41           1608
颯      U+098AF           1608
豹      U+08C79           1605
艇      U+08247           1604
閲      U+095B2           1603
靡      U+09761           1602
拱      U+062F1           1601
證      U+08B49           1601
灣      U+07063           1601
拄      U+062C4           1598
鞋      U+0978B           1595
羸      U+07FB8           1594
頑      U+09811           1593
鵬      U+09D6C           1592
苟      U+082DF           1591
棟      U+068DF           1591
鄴      U+09134           1589
辦      U+08FA6           1588
臾      U+081FE           1585
盃      U+076C3           1585
决      U+051B3           1584
净      U+051C0           1581
樣      U+06A23           1580
逋      U+0900B           1579
乖      U+04E56           1578
鷄      U+09DC4           1577
穎      U+07A4E           1577
负      U+08D1F           1575
珊      U+073CA           1575
副      U+0526F           1575
稷      U+07A37           1574
紳      U+07D33           1571
較      U+08F03           1569
狗      U+072D7           1568
裕      U+088D5           1566
瑩      U+07469           1566
耐      U+08010           1565
繩      U+07E69           1564
擲      U+064F2           1561
嬉      U+05B09           1559
栗      U+06817           1554
驕      U+09A55           1553
笋      U+07B0B           1553
灵      U+07075           1551
礼      U+0793C           1548
圆      U+05706           1546
魔      U+09B54           1543
计      U+08BA1           1541
寡      U+05BE1           1540
贵      U+08D35           1540
昧      U+06627           1538
輦      U+08F26           1538
拘      U+062D8           1536
孚      U+05B5A           1535
域      U+057DF           1534
巒      U+05DD2           1533
奕      U+05955           1532
賴      U+08CF4           1528
穹      U+07A79           1528
极      U+06781           1527
撥      U+064A5           1527
托      U+06258           1524
擢      U+064E2           1523
筇      U+07B47           1521
灼      U+0707C           1520
跳      U+08DF3           1519
讓      U+08B93           1518
逕      U+09015           1518
乏      U+04E4F           1517
巘      U+05DD8           1515
蔓      U+08513           1512
猷      U+07337           1512
沐      U+06C90           1509
恍      U+0604D           1509
称      U+079F0           1508
霑      U+09711           1508
藴      U+085F4           1506
挾      U+0633E           1503
峻      U+05CFB           1500
倾      U+0503E           1497
砂      U+07802           1497
蔚      U+0851A           1497
菱      U+083F1           1496
耶      U+08036           1496
祕      U+07955           1494
偁      U+05041           1493
粧      U+07CA7           1493
損      U+0640D           1492
冕      U+05195           1492
昇      U+06607           1488
屠      U+05C60           1487
褐      U+08910           1484
瀉      U+07009           1484
裹      U+088F9           1481
复      U+0590D           1479
釀      U+091C0           1478
径      U+05F84           1476
葱      U+08471           1476
扃      U+06243           1475
弗      U+05F17           1474
丙      U+04E19           1471
篁      U+07BC1           1470
漂      U+06F02           1467
缘      U+07F18           1466
壘      U+058D8           1466
悅      U+06085           1465
滕      U+06ED5           1463
哦      U+054E6           1463
液      U+06DB2           1461
葬      U+0846C           1457
鸣      U+09E23           1457
朵      U+06735           1457
璃      U+07483           1457
塢      U+05862           1456
鹊      U+09E4A           1455
扣      U+06263           1453
矯      U+077EF           1453
跋      U+08DCB           1453
賒      U+08CD2           1453
闈      U+095C8           1450
丑      U+04E11           1449
互      U+04E92           1446
亞      U+04E9E           1446
坦      U+05766           1444
閱      U+095B1           1442
竊      U+07ACA           1441
椒      U+06912           1441
嵬      U+05D6C           1438
柄      U+067C4           1435
盜      U+076DC           1430
孩      U+05B69           1428
裾      U+088FE           1428
庄      U+05E84           1427
迫      U+08FEB           1426
鉛      U+0925B           1426
坊      U+0574A           1425
乌      U+04E4C           1424
弘      U+05F18           1424
腥      U+08165           1422
嵲      U+05D72           1422
籌      U+07C4C           1422
淪      U+06DEA           1421
攻      U+0653B           1420
叩      U+053E9           1419
机      U+0673A           1419
泳      U+06CF3           1419
榭      U+069AD           1413
演      U+06F14           1412
屨      U+05C68           1411
雉      U+096C9           1407
軟      U+08EDF           1406
甌      U+0750C           1406
湧      U+06E67           1406
憩      U+061A9           1404
蔭      U+0852D           1404
蛩      U+086E9           1402
滌      U+06ECC           1402
勁      U+052C1           1401
竺      U+07AFA           1400
派      U+06D3E           1399
军      U+0519B           1398
慣      U+06163           1398
郁      U+090C1           1396
际      U+09645           1396
咱      U+054B1           1396
舂      U+08202           1395
誅      U+08A85           1390
仞      U+04EDE           1390
肖      U+08096           1389
搔      U+06414           1389
宙      U+05B99           1389
涓      U+06D93           1389
圣      U+05723           1388
窈      U+07A88           1387
炯      U+070AF           1387
瑣      U+07463           1387
稼      U+07A3C           1386
磯      U+078EF           1384
勾      U+052FE           1382
廓      U+05ED3           1381
笠      U+07B20           1381
配      U+0914D           1380
割      U+05272           1380
暴      U+066B4           1379
牖      U+07256           1379
蟹      U+087F9           1375
衷      U+08877           1374
毋      U+06BCB           1373
揖      U+063D6           1371
陟      U+0965F           1371
总      U+0603B           1369
团      U+056E2           1367
隋      U+0968B           1367
馭      U+099AD           1367
鉢      U+09262           1365
輓      U+08F13           1364
湿      U+06E7F           1361
闢      U+095E2           1361
遵      U+09075           1357
惹      U+060F9           1355
削      U+0524A           1354
偉      U+05049           1354
图      U+056FE           1353
夭      U+0592D           1349
厥      U+053A5           1348
駿      U+099FF           1348
衍      U+0884D           1345
盘      U+076D8           1344
漿      U+06F3F           1342
怡      U+06021           1342
误      U+08BEF           1342
昼      U+0663C           1340
挑      U+06311           1340
臯      U+081EF           1340
藕      U+085D5           1339
隙      U+09699           1337
夙      U+05919           1336
戏      U+0620F           1336
莱      U+083B1           1336
蛙      U+086D9           1336
恥      U+06065           1335
忌      U+05FCC           1335
鬭      U+09B2D           1335
芻      U+082BB           1333
捐      U+06350           1333
玲      U+073B2           1333
崑      U+05D11           1333
鬱      U+09B31           1332
篷      U+07BF7           1332
驪      U+09A6A           1331
籟      U+07C5F           1331
眾      U+0773E           1330
葦      U+08466           1328
誓      U+08A93           1327
槁      U+069C1           1327
禱      U+079B1           1327
敘      U+06558           1327
纷      U+07EB7           1324
餉      U+09909           1323
陀      U+09640           1323
墀      U+05880           1322
漳      U+06F33           1321
猜      U+0731C           1319
墙      U+05899           1318
醜      U+0919C           1317
它      U+05B83           1317
譜      U+08B5C           1317
沿      U+06CBF           1313
锁      U+09501           1312
貯      U+08CAF           1310
截      U+0622A           1309
儼      U+0513C           1309
鉤      U+09264           1308
轅      U+08F45           1308
羌      U+07F8C           1307
溢      U+06EA2           1306
僊      U+050CA           1301
蜜      U+0871C           1300
拥      U+062E5           1299
眸      U+07738           1299
莖      U+08396           1299
檄      U+06A84           1298
焰      U+07130           1295
恼      U+0607C           1294
媒      U+05A92           1293
咎      U+0548E           1293
销      U+09500           1293
晶      U+06676           1292
冶      U+051B6           1290
绮      U+07EEE           1287
阜      U+0961C           1287
穷      U+07A77           1285
参      U+053C2           1283
膚      U+0819A           1283
訣      U+08A23           1283
墅      U+05885           1282
嶸      U+05DB8           1282
褒      U+08912           1281
秩      U+079E9           1280
脱      U+08131           1278
課      U+08AB2           1278
詹      U+08A79           1277
灌      U+0704C           1276
竈      U+07AC8           1276
譽      U+08B7D           1275
咄      U+05484           1275
嗚      U+055DA           1272
论      U+08BBA           1271
朗      U+06717           1267
悼      U+060BC           1266
扬      U+0626C           1264
遞      U+0905E           1264
璞      U+0749E           1263
媿      U+05ABF           1262
鍊      U+0934A           1261
鵑      U+09D51           1261
浑      U+06D51           1260
績      U+07E3E           1258
粱      U+07CB1           1256
麓      U+09E93           1256
嗜      U+055DC           1255
怅      U+06005           1255
吁      U+05401           1255
杉      U+06749           1252
轡      U+08F61           1251
遁      U+09041           1250
討      U+08A0E           1248
汴      U+06C74           1248
砧      U+07827           1248
閻      U+095BB           1248
奮      U+0596E           1247
憤      U+061A4           1247
肆      U+08086           1246
栻      U+0683B           1246
辞      U+08F9E           1244
責      U+08CAC           1242
匡      U+05321           1241
笔      U+07B14           1241
沸      U+06CB8           1240
漆      U+06F06           1239
檜      U+06A9C           1239
措      U+063AA           1238
纵      U+07EB5           1238
琳      U+07433           1238
笼      U+07B3C           1237
爵      U+07235           1236
环      U+073AF           1236
楫      U+0696B           1233
骸      U+09AB8           1233
旆      U+065C6           1230
认      U+08BA4           1229
膺      U+081BA           1228
凶      U+051F6           1225
炉      U+07089           1225
鸟      U+09E1F           1224
忧      U+05FE7           1223
鴦      U+09D26           1216
悶      U+060B6           1216
墟      U+0589F           1214
亨      U+04EA8           1214
挹      U+06339           1213
夸      U+05938           1212
衙      U+08859           1209
样      U+06837           1208
煞      U+0715E           1206
纏      U+07E8F           1206
虬      U+0866C           1205
扫      U+0626B           1205
窄      U+07A84           1202
噪      U+0566A           1202
審      U+05BE9           1201
茸      U+08338           1200
黨      U+09EE8           1199
莘      U+08398           1198
厌      U+0538C           1197
眇      U+07707           1197
馥      U+099A5           1194
懒      U+061D2           1193
芍      U+0828D           1193
麽      U+09EBD           1193
换      U+06362           1192
憎      U+0618E           1190
坎      U+0574E           1189
萋      U+0840B           1188
叠      U+053E0           1188
潇      U+06F47           1188
撲      U+064B2           1188
協      U+05354           1188
鸥      U+09E25           1187
竭      U+07AED           1186
苕      U+082D5           1185
邈      U+09088           1184
航      U+0822A           1184
轼      U+08F7C           1180
郵      U+090F5           1179
实      U+05B9E           1179
斤      U+065A4           1177
蘂      U+08602           1177
藹      U+085F9           1177
丸      U+04E38           1176
擅      U+064C5           1176
縛      U+07E1B           1176
廳      U+05EF3           1176
洽      U+06D3D           1174
災      U+0707D           1173
骑      U+09A91           1172
诉      U+08BC9           1171
迂      U+08FC2           1171
崢      U+05D22           1171
踐      U+08E10           1170
匣      U+05323           1170
括      U+062EC           1168
荣      U+08363           1167
稜      U+07A1C           1166
龏      U+09F8F           1166
軀      U+08EC0           1165
擎      U+064CE           1165
諧      U+08AE7           1165
氈      U+06C08           1165
霸      U+09738           1162
線      U+07DDA           1162
佇      U+04F47           1162
躋      U+08E8B           1161
紆      U+07D06           1159
涇      U+06D87           1157
袅      U+08885           1156
椿      U+0693F           1156
汾      U+06C7E           1154
沃      U+06C83           1154
绪      U+07EEA           1153
幄      U+05E44           1153
蹉      U+08E49           1152
迤      U+08FE4           1150
鳬      U+09CEC           1150
肺      U+080BA           1148
查      U+067E5           1147
醇      U+09187           1147
縹      U+07E39           1147
岂      U+05C82           1146
倏      U+0500F           1146
組      U+07D44           1146
筋      U+07B4B           1144
椽      U+0693D           1144
偕      U+05055           1143
屑      U+05C51           1143
拆      U+062C6           1143
梓      U+06893           1142
吸      U+05438           1142
挺      U+0633A           1141
阶      U+09636           1140
蹊      U+08E4A           1138
捨      U+06368           1138
淫      U+06DEB           1134
囚      U+056DA           1134
儂      U+05102           1134
釵      U+091F5           1134
瓏      U+074CF           1133
澆      U+06F86           1132
蠹      U+08839           1131
研      U+07814           1131
冒      U+05192           1130
遡      U+09061           1130
歟      U+06B5F           1130
蹙      U+08E59           1129
楹      U+06979           1128
谩      U+08C29           1127
冢      U+051A2           1125
育      U+080B2           1125
宾      U+05BBE           1125
纍      U+07E8D           1125
暄      U+06684           1125
帐      U+05E10           1123
偓      U+05053           1122
璣      U+074A3           1122
舅      U+08205           1120
朴      U+06734           1120
杪      U+0676A           1118
濡      U+06FE1           1116
驟      U+09A5F           1115
刃      U+05203           1111
邇      U+09087           1111
纱      U+07EB1           1111
嚼      U+056BC           1111
盞      U+076DE           1111
琢      U+07422           1110
播      U+064AD           1110
鱸      U+09C78           1109
娑      U+05A11           1107
剝      U+0525D           1106
宁      U+05B81           1105
漪      U+06F2A           1105
鳩      U+09CE9           1105
粒      U+07C92           1102
鬬      U+09B2C           1102
閬      U+095AC           1102
覲      U+089B2           1101
萱      U+08431           1101
忝      U+05FDD           1099
篋      U+07BCB           1097
标      U+06807           1096
援      U+063F4           1096
闔      U+095D4           1096
揭      U+063ED           1093
恢      U+06062           1093
湍      U+06E4D           1092
抹      U+062B9           1092
愴      U+06134           1092
縮      U+07E2E           1091
賡      U+08CE1           1091
貺      U+08CBA           1091
胎      U+080CE           1090
炙      U+07099           1088
魁      U+09B41           1088
倘      U+05018           1087
话      U+08BDD           1083
夤      U+05924           1083
謨      U+08B28           1081
葩      U+08469           1081
桓      U+06853           1080
污      U+06C61           1080
測      U+06E2C           1079
鯉      U+09BC9           1078
聰      U+08070           1077
蓼      U+084FC           1077
龔      U+09F94           1077
髙      U+09AD9           1077
详      U+08BE6           1076
麝      U+09E9D           1075
邱      U+090B1           1074
壬      U+058EC           1073
轂      U+08F42           1073
猨      U+07328           1073
懼      U+061FC           1072
唾      U+0553E           1072
澈      U+06F88           1071
榛      U+0699B           1071
櫻      U+06AFB           1068
鼇      U+09F07           1068
灞      U+0705E           1066
脉      U+08109           1065
緘      U+07DD8           1063
抄      U+06284           1062
虔      U+08654           1061
財      U+08CA1           1060
尖      U+05C16           1060
卯      U+0536F           1060
峴      U+05CF4           1060
嘏      U+0560F           1058
磊      U+078CA           1057
睹      U+07779           1056
葭      U+0846D           1056
填      U+0586B           1055
烽      U+070FD           1054
翛      U+07FDB           1051
帛      U+05E1B           1050
篱      U+07BF1           1050
撼      U+064BC           1050
侃      U+04F83           1050
尼      U+05C3C           1048
卉      U+05349           1048
稅      U+07A05           1047
攢      U+06522           1047
粥      U+07CA5           1045
噴      U+05674           1045
羡      U+07FA1           1044
盖      U+076D6           1044
冀      U+05180           1043
珮      U+073EE           1043
潦      U+06F66           1042
臭      U+081ED           1042
翮      U+07FEE           1042
掖      U+06396           1040
嬰      U+05B30           1040
厮      U+053AE           1038
鈴      U+09234           1038
蠅      U+08805           1037
悉      U+06089           1037
犢      U+072A2           1037
泗      U+06CD7           1036
訟      U+08A1F           1035
訊      U+08A0A           1034
鸯      U+09E2F           1032
辯      U+08FAF           1031
鬥      U+09B25           1031
紋      U+07D0B           1031
窕      U+07A95           1030
酥      U+09165           1030
丽      U+04E3D           1027
筒      U+07B52           1027
櫂      U+06AC2           1027
脸      U+08138           1026
獬      U+0736C           1025
条      U+06761           1024
戊      U+0620A           1024
巔      U+05DD4           1024
蟄      U+087C4           1023
盼      U+076FC           1022
糧      U+07CE7           1018
荡      U+08361           1018
拭      U+062ED           1018
幡      U+05E61           1017
醺      U+091BA           1012
坚      U+0575A           1011
譚      U+08B5A           1010
虽      U+0867D           1009
暢      U+066A2           1009
掇      U+06387           1009
婉      U+05A49           1008
竦      U+07AE6           1008
场      U+0573A           1008
顾      U+0987E           1007
訝      U+08A1D           1007
決      U+06C7A           1006
撩      U+064A9           1005
擔      U+064D4           1004
鴨      U+09D28           1003
嫋      U+05ACB           1003
淘      U+06DD8           1002
倪      U+0502A            999
轮      U+08F6E            999
躡      U+08EA1            999
匠      U+05320            998
慳      U+06173            997
驾      U+09A7E            996
郑      U+090D1            995
抒      U+06292            994
霰      U+09730            994
詰      U+08A70            993
革      U+09769            992
培      U+057F9            992
炷      U+070B7            992
鸚      U+09E1A            992
鑾      U+0947E            992
膠      U+081A0            991
麒      U+09E92            991
構      U+069CB            989
阙      U+09619            989
濺      U+06FFA            989
垢      U+057A2            988
誌      U+08A8C            987
弹      U+05F39            986
铸      U+094F8            986
鳧      U+09CE7            986
虧      U+08667            984
檣      U+06AA3            984
芸      U+082B8            982
勋      U+052CB            982
酴      U+09174            982
吃      U+05403            982
悽      U+060BD            981
栏      U+0680F            981
斬      U+065AC            980
翌      U+07FCC            980
雌      U+096CC            979
跎      U+08DCE            979
稳      U+07A33            979
完      U+05B8C            978
踰      U+08E30            977
厨      U+053A8            977
业      U+04E1A            976
攬      U+0652C            976
义      U+04E49            975
棣      U+068E3            975
餌      U+0990C            975
掉      U+06389            974
駸      U+099F8            974
誼      U+08ABC            974
恃      U+06043            973
荅      U+08345            972
諒      U+08AD2            970
侣      U+04FA3            969
弇      U+05F07            969
驗      U+09A57            969
翱      U+07FF1            968
督      U+07763            968
馿      U+099BF            968
萸      U+08438            964
矢      U+077E2            963
敝      U+0655D            963
粹      U+07CB9            963
驂      U+09A42            963
橐      U+06A50            962
麈      U+09E88            962
觅      U+089C5            961
药      U+0836F            960
堵      U+05835            960
柘      U+067D8            960
淩      U+06DE9            959
攝      U+0651D            958
替      U+066FF            958
愜      U+0611C            958
吊      U+0540A            955
湲      U+06E72            954
菰      U+083F0            954
炳      U+070B3            953
絡      U+07D61            953
俟      U+04FDF            952
劳      U+052B3            952
吼      U+0543C            949
幢      U+05E62            948
頰      U+09830            948
兹      U+05179            947
剎      U+0524E            947
駭      U+099ED            946
属      U+05C5E            945
馆      U+09986            944
贏      U+08D0F            944
岷      U+05CB7            941
掀      U+06380            941
廌      U+05ECC            941
琉      U+07409            939
腴      U+08174            939
蝴      U+08774            938
匝      U+0531D            938
毗      U+06BD7            938
慷      U+06177            935
压      U+0538B            935
恶      U+06076            934
罍      U+07F4D            934
額      U+0984D            934
厲      U+053B2            933
谈      U+08C08            933
熒      U+07192            933
憚      U+0619A            932
剑      U+05251            931
統      U+07D71            930
荊      U+0834A            930
稠      U+07A20            929
婺      U+05A7A            929
遗      U+09057            928
淋      U+06DCB            928
籃      U+07C43            928
进      U+08FDB            927
辜      U+08F9C            927
耽      U+0803D            927
丛      U+04E1B            927
萦      U+08426            927
阵      U+09635            925
钩      U+094A9            925
买      U+04E70            924
綃      U+07D83            924
崎      U+05D0E            923
瀨      U+07028            923
崩      U+05D29            922
围      U+056F4            922
捫      U+0636B            922
究      U+07A76            921
髭      U+09AED            921
繭      U+07E6D            921
汙      U+06C59            920
妒      U+05992            920
鴟      U+09D1F            919
鵡      U+09D61            919
钓      U+09493            917
酹      U+09179            917
盍      U+076CD            916
弊      U+05F0A            916
鄂      U+09102            916
彤      U+05F64            916
嶼      U+05DBC            916
陛      U+0965B            915
擘      U+064D8            914
芭      U+082AD            914
阡      U+09621            914
霍      U+0970D            912
囂      U+056C2            911
球      U+07403            910
苒      U+082D2            910
掠      U+063A0            909
垓      U+05793            909
勃      U+052C3            906
战      U+06218            906
姦      U+059E6            905
聘      U+08058            903
汎      U+06C4E            903
舫      U+0822B            903
煉      U+07149            901
瞿      U+077BF            898
彝      U+05F5D            895
掾      U+063BE            895
巵      U+05DF5            894
浚      U+06D5A            893
琮      U+0742E            893
毀      U+06BC0            892
貶      U+08CB6            892
钟      U+0949F            891
謬      U+08B2C            891
版      U+07248            890
儉      U+05109            889
澀      U+06F80            889
腔      U+08154            888
迸      U+08FF8            887
伍      U+04F0D            886
软      U+08F6F            886
磵      U+078F5            886
飾      U+098FE            886
翥      U+07FE5            885
茨      U+08328            884
緲      U+07DF2            884
棗      U+068D7            882
拖      U+062D6            882
抑      U+06291            880
翡      U+07FE1            880
蹈      U+08E48            879
抗      U+06297            879
欧      U+06B27            879
漱      U+06F31            877
荻      U+0837B            877
緯      U+07DEF            877
醅      U+09185            876
癸      U+07678            876
槃      U+069C3            876
訴      U+08A34            876
颼      U+098BC            876
舸      U+08238            875
彻      U+05F7B            874
笺      U+07B3A            874
炭      U+070AD            870
严      U+04E25            870
覩      U+089A9            869
酉      U+09149            869
殆      U+06B86            868
苞      U+082DE            868
髓      U+09AD3            867
醴      U+091B4            866
拟      U+062DF            866
勻      U+052FB            866
淅      U+06DC5            865
薜      U+0859C            865
鸡      U+09E21            863
蝉      U+08749            862
翫      U+07FEB            862
喫      U+055AB            861
這      U+09019            861
隻      U+096BB            860
杵      U+06775            859
莓      U+08393            859
俠      U+04FE0            859
磴      U+078F4            858
鹭      U+09E6D            857
泓      U+06CD3            857
螺      U+087BA            856
鏘      U+093D8            856
历      U+05386            855
诸      U+08BF8            855
餓      U+09913            854
翹      U+07FF9            854
闺      U+095FA            853
吠      U+05420            852
涎      U+06D8E            852
旄      U+065C4            850
壮      U+058EE            850
譏      U+08B4F            849
宽      U+05BBD            849
剖      U+05256            848
肱      U+080B1            848
陝      U+0965D            848
烦      U+070E6            847
狎      U+072CE            846
彷      U+05F77            846
寮      U+05BEE            846
馴      U+099B4            845
針      U+091DD            844
谒      U+08C12            843
爪      U+0722A            842
倡      U+05021            841
烘      U+070D8            841
觥      U+089E5            840
撐      U+06490            840
陷      U+09677            839
遨      U+09068            839
挈      U+06308            839
輟      U+08F1F            839
控      U+063A7            835
掬      U+063AC            834
霆      U+09706            832
凱      U+051F1            831
补      U+08865            831
導      U+05C0E            830
妇      U+05987            830
糟      U+07CDF            830
顆      U+09846            830
狄      U+072C4            829
札      U+0672D            828
貝      U+08C9D            827
杞      U+0675E            826
瑕      U+07455            826
僮      U+050EE            826
芹      U+082B9            825
敕      U+06555            825
萌      U+0840C            824
勘      U+052D8            824
塊      U+0584A            823
奸      U+05978            822
躅      U+08E85            822
箔      U+07B94            822
润      U+06DA6            820
叨      U+053E8            820
嬾      U+05B3E            820
盏      U+076CF            819
窠      U+07AA0            819
覯      U+089AF            819
錐      U+09310            818
碌      U+0788C            817
坠      U+05760            815
釜      U+091DC            814
隈      U+09688            814
黔      U+09ED4            813
閟      U+0959F            813
