Char   Codepoint     Frequency   Percentage
流      U+06D41             29        0.09%
裳      U+088F3             29        0.09%
先      U+05148             28        0.09%
哀      U+054C0             28        0.09%
征      U+05F81             28        0.09%
念      U+05FF5             28        0.09%
扬      U+0626C             28        0.09%
昊      U+0660A             28        0.09%
朝      U+0671D             28        0.09%
禄      U+07984             28        0.09%
考      U+08003             28        0.09%
辟      U+08F9F             28        0.09%
鸟      U+09E1F             28        0.09%
乱      U+04E71             27        0.08%
令      U+04EE4             27        0.08%
商      U+05546             27        0.08%
威      U+05A01             27        0.08%
稷      U+07A37             27        0.08%
门      U+095E8             27        0.08%
介      U+04ECB             26        0.08%
六      U+0516D             26        0.08%
年      U+05E74             26        0.08%
徂      U+05F82             26        0.08%
执      U+06267             26        0.08%
攸      U+06538             26        0.08%
淑      U+06DD1             26        0.08%
犹      U+072B9             26        0.08%
畏      U+0754F             26        0.08%
白      U+0767D             26        0.08%
醉      U+09189             26        0.08%
隰      U+096B0             26        0.08%
黍      U+09ECD             26        0.08%
北      U+05317             25        0.08%
叶      U+053F6             25        0.08%
处      U+05904             25        0.08%
夙      U+05919             25        0.08%
定      U+05B9A             25        0.08%
惠      U+060E0             25        0.08%
戎      U+0620E             25        0.08%
曷      U+066F7             25        0.08%
木      U+06728             25        0.08%
焉      U+07109             25        0.08%
然      U+07136             25        0.08%
独      U+072EC             25        0.08%
阳      U+09633             25        0.08%
友      U+053CB             24        0.07%
夷      U+05937             24        0.07%
济      U+06D4E             24        0.07%
虽      U+0867D             24        0.07%
谋      U+08C0B             24        0.07%
集      U+096C6             24        0.07%
音      U+097F3             24        0.07%
华      U+0534E             23        0.07%
取      U+053D6             23        0.07%
声      U+058F0             23        0.07%
寐      U+05BD0             23        0.07%
御      U+05FA1             23        0.07%
振      U+0632F             23        0.07%
疆      U+07586             23        0.07%
鲁      U+09C81             23        0.07%
二      U+04E8C             22        0.07%
交      U+04EA4             22        0.07%
信      U+04FE1             22        0.07%
反      U+053CD             22        0.07%
告      U+0544A             22        0.07%
宾      U+05BBE             22        0.07%
尚      U+05C1A             22        0.07%
岁      U+05C81             22        0.07%
已      U+05DF2             22        0.07%
敬      U+0656C             22        0.07%
昭      U+0662D             22        0.07%
曾      U+066FE             22        0.07%
棘      U+068D8             22        0.07%
楚      U+0695A             22        0.07%
泉      U+06CC9             22        0.07%
率      U+07387             22        0.07%
矢      U+077E2             22        0.07%
神      U+0795E             22        0.07%
绥      U+07EE5             22        0.07%
逝      U+0901D             22        0.07%
郑      U+090D1             22        0.07%
锡      U+09521             22        0.07%
陟      U+0965F             22        0.07%
鹿      U+09E7F             22        0.07%
他      U+04ED6             21        0.07%
又      U+053C8             21        0.07%
显      U+0663E             21        0.07%
正      U+06B63             21        0.07%
游      U+06E38             21        0.07%
离      U+079BB             21        0.07%
臧      U+081E7             21        0.07%
葛      U+0845B             21        0.07%
京      U+04EAC             20        0.06%
入      U+05165             20        0.06%
勿      U+052FF             20        0.06%
旨      U+065E8             20        0.06%
极      U+06781             20        0.06%
死      U+06B7B             20        0.06%
汤      U+06C64             20        0.06%
申      U+07533             20        0.06%
荡      U+08361             20        0.06%
藻      U+085FB             20        0.06%
适      U+09002             20        0.06%
顾      U+0987E             20        0.06%
假      U+05047             19        0.06%
十      U+05341             19        0.06%
卒      U+05352             19        0.06%
咨      U+054A8             19        0.06%
弓      U+05F13             19        0.06%
梁      U+06881             19        0.06%
猗      U+07317             19        0.06%
草      U+08349             19        0.06%
获      U+083B7             19        0.06%
薪      U+085AA             19        0.06%
诸      U+08BF8             19        0.06%
邶      U+090B6             19        0.06%
首      U+09996             19        0.06%
亩      U+04EA9             18        0.06%
休      U+04F11             18        0.06%
允      U+05141             18        0.06%
兴      U+05174             18        0.06%
妇      U+05987             18        0.06%
孝      U+05B5D             18        0.06%
安      U+05B89             18        0.06%
平      U+05E73             18        0.06%
庙      U+05E99             18        0.06%
庭      U+05EAD             18        0.06%
旅      U+065C5             18        0.06%
柔      U+067D4             18        0.06%
歌      U+06B4C             18        0.06%
淇      U+06DC7             18        0.06%
羊      U+07F8A             18        0.06%
胥      U+080E5             18        0.06%
舟      U+0821F             18        0.06%
裘      U+088D8             18        0.06%
西      U+0897F             18        0.06%
迈      U+08FC8             18        0.06%
还      U+08FD8             18        0.06%
遑      U+09051             18        0.06%
钟      U+0949F             18        0.06%
长      U+0957F             18        0.06%
陈      U+09648             18        0.06%
露      U+09732             18        0.06%
高      U+09AD8             18        0.06%
丘      U+04E18             17        0.05%
九      U+04E5D             17        0.05%
伤      U+04F24             17        0.05%
具      U+05177             17        0.05%
吉      U+05409             17        0.05%
寤      U+05BE4             17        0.05%
尸      U+05C38             17        0.05%
报      U+062A5             17        0.05%
玉      U+07389             17        0.05%
祀      U+07940             17        0.05%
穀      U+07A40             17        0.05%
绵      U+07EF5             17        0.05%
羔      U+07F94             17        0.05%
羽      U+07FBD             17        0.05%
臣      U+081E3             17        0.05%
虎      U+0864E             17        0.05%
雁      U+096C1             17        0.05%
駉      U+099C9             17        0.05%
鸿      U+09E3F             17        0.05%
丝      U+04E1D             16        0.05%
两      U+04E24             16        0.05%
佩      U+04F69             16        0.05%
夕      U+05915             16        0.05%
往      U+05F80             16        0.05%
得      U+05F97             16        0.05%
林      U+06797             16        0.05%
盈      U+076C8             16        0.05%
穆      U+07A46             16        0.05%
素      U+07D20             16        0.05%
迟      U+08FDF             16        0.05%
酌      U+0914C             16        0.05%
雍      U+096CD             16        0.05%
七      U+04E03             15        0.05%
丧      U+04E27             15        0.05%
临      U+04E34             15        0.05%
使      U+04F7F             15        0.05%
共      U+05171             15        0.05%
兹      U+05179             15        0.05%
几      U+051E0             15        0.05%
原      U+0539F             15        0.05%
唐      U+05510             15        0.05%
城      U+057CE             15        0.05%
复      U+0590D             15        0.05%
干      U+05E72             15        0.05%
康      U+05EB7             15        0.05%
彭      U+05F6D             15        0.05%
微      U+05FAE             15        0.05%
戾      U+0623E             15        0.05%
手      U+0624B             15        0.05%
抑      U+06291             15        0.05%
新      U+065B0             15        0.05%
昔      U+06614             15        0.05%
期      U+0671F             15        0.05%
氏      U+06C0F             15        0.05%
汉      U+06C49             15        0.05%
瑟      U+0745F             15        0.05%
老      U+08001             15        0.05%
舍      U+0820D             15        0.05%
苍      U+082CD             15        0.05%
苞      U+082DE             15        0.05%
萋      U+0840B             15        0.05%
视      U+089C6             15        0.05%
闵      U+095F5             15        0.05%
驱      U+09A71             15        0.05%
驾      U+09A7E             15        0.05%
鼠      U+09F20             15        0.05%
丰      U+04E30             14        0.04%
偕      U+05055             14        0.04%
初      U+0521D             14        0.04%
卫      U+0536B             14        0.04%
夏      U+0590F             14        0.04%
夭      U+0592D             14        0.04%
奕      U+05955             14        0.04%
宛      U+05B9B             14        0.04%
履      U+05C65             14        0.04%
工      U+05DE5             14        0.04%
度      U+05EA6             14        0.04%
忘      U+05FD8             14        0.04%
慎      U+0614E             14        0.04%
施      U+065BD             14        0.04%
景      U+0666F             14        0.04%
淮      U+06DEE             14        0.04%
湛      U+06E5B             14        0.04%
秉      U+079C9             14        0.04%
罔      U+07F54             14        0.04%
罪      U+07F6A             14        0.04%
节      U+08282             14        0.04%
观      U+089C2             14        0.04%
觏      U+089CF             14        0.04%
说      U+08BF4             14        0.04%
难      U+096BE             14        0.04%
韩      U+097E9             14        0.04%
业      U+04E1A             13        0.04%
五      U+04E94             13        0.04%
享      U+04EAB             13        0.04%
依      U+04F9D             13        0.04%
功      U+0529F             13        0.04%
千      U+05343             13        0.04%
古      U+053E4             13        0.04%
听      U+0542C             13        0.04%
喈      U+05588             13        0.04%
妻      U+059BB             13        0.04%
宫      U+05BAB             13        0.04%
怒      U+06012             13        0.04%
息      U+0606F             13        0.04%
惨      U+060E8             13        0.04%
星      U+0661F             13        0.04%
望      U+0671B             13        0.04%
束      U+0675F             13        0.04%
栗      U+06817             13        0.04%
江      U+06C5F             13        0.04%
狐      U+072D0             13        0.04%
献      U+0732E             13        0.04%
由      U+07531             13        0.04%
耳      U+08033             13        0.04%
职      U+0804C             13        0.04%
舞      U+0821E             13        0.04%
蓼      U+084FC             13        0.04%
覆      U+08986             13        0.04%
路      U+08DEF             13        0.04%
闻      U+095FB             13        0.04%
青      U+09752             13        0.04%
亡      U+04EA1             12        0.04%
光      U+05149             12        0.04%
兔      U+05154             12        0.04%
八      U+0516B             12        0.04%
卬      U+0536C             12        0.04%
和      U+0548C             12        0.04%
哲      U+054F2             12        0.04%
喜      U+0559C             12        0.04%
宗      U+05B97             12        0.04%
害      U+05BB3             12        0.04%
朋      U+0670B             12        0.04%
泮      U+06CEE             12        0.04%
渊      U+06E0A             12        0.04%
盬      U+076EC             12        0.04%
秩      U+079E9             12        0.04%
稼      U+07A3C             12        0.04%
章      U+07AE0             12        0.04%
笃      U+07B03             12        0.04%
笑      U+07B11             12        0.04%
绿      U+07EFF             12        0.04%
肯      U+080AF             12        0.04%
肴      U+080B4             12        0.04%
营      U+08425             12        0.04%
薇      U+08587             12        0.04%
设      U+08BBE             12        0.04%
辔      U+08F94             12        0.04%
送      U+09001             12        0.04%
遂      U+09042             12        0.04%
阿      U+0963F             12        0.04%
零      U+096F6             12        0.04%
鲜      U+09C9C             12        0.04%
鸠      U+09E20             12        0.04%
鸾      U+09E3E             12        0.04%
厌      U+0538C             11        0.03%
叹      U+053F9             11        0.03%
外      U+05916             11        0.03%
奏      U+0594F             11        0.03%
始      U+059CB             11        0.03%
客      U+05BA2             11        0.03%
崇      U+05D07             11        0.03%
常      U+05E38             11        0.03%
弁      U+05F01             11        0.03%
徒      U+05F92             11        0.03%
悲      U+060B2             11        0.03%
故      U+06545             11        0.03%
旂      U+065C2             11        0.03%
旱      U+065F1             11        0.03%
松      U+0677E             11        0.03%
树      U+06811             11        0.03%
沃      U+06C83             11        0.03%
温      U+06E29             11        0.03%
濯      U+06FEF             11        0.03%
牛      U+0725B             11        0.03%
疾      U+075BE             11        0.03%
直      U+076F4             11        0.03%
石      U+077F3             11        0.03%
祁      U+07941             11        0.03%
立      U+07ACB             11        0.03%
竞      U+07ADE             11        0.03%
粲      U+07CB2             11        0.03%
翩      U+07FE9             11        0.03%
聊      U+0804A             11        0.03%
荒      U+08352             11        0.03%
萧      U+08427             11        0.03%
角      U+089D2             11        0.03%
诗      U+08BD7             11        0.03%
豆      U+08C46             11        0.03%
遐      U+09050             11        0.03%
都      U+090FD             11        0.03%
里      U+091CC             11        0.03%
饥      U+09965             11        0.03%
鸡      U+09E21             11        0.03%
世      U+04E16             10        0.03%
侧      U+04FA7             10        0.03%
修      U+04FEE             10        0.03%
