Char   Codepoint     Frequency   Percentage
竹      U+07AF9           3172        0.11%
氣      U+06C23           3153        0.11%
意      U+0610F           3137        0.11%
題      U+0984C           3116        0.11%
鳥      U+09CE5           3114        0.11%
柳      U+067F3           3099        0.11%
贈      U+08D08           3099        0.11%
因      U+056E0           3095        0.11%
間      U+09593           3091        0.11%
劉      U+05289           3085        0.11%
非      U+0975E           3070        0.11%
文      U+06587           3062        0.10%
辭      U+08FAD           3056        0.10%
亦      U+04EA6           3054        0.10%
吟      U+0541F           3020        0.10%
元      U+05143           3015        0.10%
國      U+0570B           3012        0.10%
邊      U+0908A           2997        0.10%
暮      U+066AE           2984        0.10%
幾      U+05E7E           2967        0.10%
所      U+06240           2967        0.10%
池      U+06C60           2945        0.10%
夢      U+05922           2895        0.10%
留      U+07559           2892        0.10%
漢      U+06F22           2879        0.10%
孤      U+05B64           2862        0.10%
餘      U+09918           2857        0.10%
逢      U+09022           2856        0.10%
問      U+0554F           2853        0.10%
溪      U+06EAA           2844        0.10%
寺      U+05BFA           2840        0.10%
庭      U+05EAD           2835        0.10%
杜      U+0675C           2818        0.10%
隱      U+096B1           2818        0.10%
里      U+091CC           2812        0.10%
士      U+058EB           2789        0.10%
陰      U+09670           2779        0.10%
河      U+06CB3           2777        0.10%
醉      U+09189           2769        0.09%
野      U+091CE           2751        0.09%
隨      U+096A8           2751        0.09%
物      U+07269           2739        0.09%
神      U+0795E           2737        0.09%
關      U+095DC           2735        0.09%
世      U+04E16           2720        0.09%
歲      U+06B72           2717        0.09%
登      U+0767B           2717        0.09%
枝      U+0679D           2711        0.09%
幽      U+05E7D           2702        0.09%
臨      U+081E8           2700        0.09%
微      U+05FAE           2679        0.09%
泉      U+06CC9           2677        0.09%
坐      U+05750           2671        0.09%
露      U+09732           2642        0.09%
使      U+04F7F           2640        0.09%
若      U+082E5           2624        0.09%
終      U+07D42           2616        0.09%
發      U+0767C           2605        0.09%
期      U+0671F           2581        0.09%
小      U+05C0F           2558        0.09%
宿      U+05BBF           2535        0.09%
休      U+04F11           2498        0.09%
經      U+07D93           2497        0.09%
芳      U+082B3           2490        0.09%
鄉      U+09109           2490        0.09%
好      U+0597D           2484        0.09%
霜      U+0971C           2455        0.08%
台      U+053F0           2453        0.08%
輕      U+08F15           2447        0.08%
憶      U+061B6           2432        0.08%
以      U+04EE5           2420        0.08%
至      U+081F3           2420        0.08%
早      U+065E9           2416        0.08%
碧      U+078A7           2406        0.08%
連      U+09023           2404        0.08%
陵      U+09675           2402        0.08%
綠      U+07DA0           2398        0.08%
半      U+0534A           2382        0.08%
波      U+06CE2           2372        0.08%
鶴      U+09DB4           2367        0.08%
太      U+0592A           2362        0.08%
郎      U+090CE           2355        0.08%
才      U+0624D           2351        0.08%
官      U+05B98           2345        0.08%
亭      U+04EAD           2342        0.08%
先      U+05148           2335        0.08%
共      U+05171           2326        0.08%
正      U+06B63           2325        0.08%
對      U+05C0D           2324        0.08%
合      U+05408           2322        0.08%
者      U+08005           2315        0.08%
近      U+08FD1           2315        0.08%
尋      U+05C0B           2298        0.08%
曾      U+066FE           2289        0.08%
吹      U+05439           2279        0.08%
照      U+07167           2276        0.08%
舟      U+0821F           2269        0.08%
豈      U+08C48           2239        0.08%
兩      U+05169           2238        0.08%
曉      U+066C9           2226        0.08%
夕      U+05915           2224        0.08%
常      U+05E38           2221        0.08%
影      U+05F71           2211        0.08%
羅      U+07F85           2194        0.08%
翠      U+07FE0           2193        0.08%
楚      U+0695A           2185        0.07%
遙      U+09059           2185        0.07%
雙      U+096D9           2160        0.07%
苦      U+082E6           2142        0.07%
須      U+09808           2131        0.07%
峰      U+05CF0           2114        0.07%
驚      U+09A5A           2108        0.07%
主      U+04E3B           2107        0.07%
園      U+05712           2099        0.07%
沙      U+06C99           2096        0.07%
殘      U+06B98           2091        0.07%
斷      U+065B7           2088        0.07%
師      U+05E2B           2082        0.07%
僧      U+050E7           2078        0.07%
楊      U+0694A           2071        0.07%
動      U+052D5           2064        0.07%
靜      U+0975C           2063        0.07%
悲      U+060B2           2057        0.07%
木      U+06728           2052        0.07%
垂      U+05782           2051        0.07%
景      U+0666F           2049        0.07%
興      U+08208           2033        0.07%
卻      U+0537B           2026        0.07%
川      U+05DDD           2008        0.07%
病      U+075C5           2005        0.07%
恩      U+06069           2004        0.07%
紫      U+07D2B           1994        0.07%
德      U+05FB7           1991        0.07%
吳      U+05433           1990        0.07%
奉      U+05949           1987        0.07%
章      U+07AE0           1986        0.07%
堂      U+05802           1981        0.07%
