Char   Codepoint     Frequency   Percentage
犹      U+072B9             24        0.09%
群      U+07FA4             24        0.09%
蕙      U+08559             24        0.09%
薄      U+08584             24        0.09%
谗      U+08C17             24        0.09%
遗      U+09057             24        0.09%
伯      U+04F2F             23        0.08%
列      U+05217             23        0.08%
厥      U+053A5             23        0.08%
合      U+05408             23        0.08%
堂      U+05802             23        0.08%
微      U+05FAE             23        0.08%
文      U+06587             23        0.08%
横      U+06A2A             23        0.08%
湘      U+06E58             23        0.08%
用      U+07528             23        0.08%
留      U+07559             23        0.08%
观      U+089C2             23        0.08%
遂      U+09042             23        0.08%
遥      U+09065             23        0.08%
门      U+095E8             23        0.08%
闻      U+095FB             23        0.08%
内      U+05185             22        0.08%
四      U+056DB             22        0.08%
国      U+056FD             22        0.08%
多      U+0591A             22        0.08%
宁      U+05B81             22        0.08%
彼      U+05F7C             22        0.08%
朝      U+0671D             22        0.08%
秋      U+079CB             22        0.08%
绝      U+07EDD             22        0.08%
贤      U+08D24             22        0.08%
过      U+08FC7             22        0.08%
陈      U+09648             22        0.08%
凤      U+051E4             21        0.08%
前      U+0524D             21        0.08%
名      U+0540D             21        0.08%
和      U+0548C             21        0.08%
夜      U+0591C             21        0.08%
失      U+05931             21        0.08%
察      U+05BDF             21        0.08%
忘      U+05FD8             21        0.08%
怨      U+06028             21        0.08%
昭      U+0662D             21        0.08%
月      U+06708             21        0.08%
比      U+06BD4             21        0.08%
汤      U+06C64             21        0.08%
穷      U+07A77             21        0.08%
章      U+07AE0             21        0.08%
节      U+08282             21        0.08%
辞      U+08F9E             21        0.08%
青      U+09752             21        0.08%
三      U+04E09             20        0.07%
予      U+04E88             20        0.07%
历      U+05386             20        0.07%
听      U+0542C             20        0.07%
夕      U+05915             20        0.07%
如      U+05982             20        0.07%
度      U+05EA6             20        0.07%
当      U+05F53             20        0.07%
放      U+0653E             20        0.07%
曾      U+066FE             20        0.07%
沉      U+06C89             20        0.07%
深      U+06DF1             20        0.07%
罔      U+07F54             20        0.07%
降      U+0964D             20        0.07%
骥      U+09AA5             20        0.07%
黄      U+09EC4             20        0.07%
乃      U+04E43             19        0.07%
久      U+04E45             19        0.07%
今      U+04ECA             19        0.07%
出      U+051FA             19        0.07%
及      U+053CA             19        0.07%
夏      U+0590F             19        0.07%
异      U+05F02             19        0.07%
惜      U+060DC             19        0.07%
折      U+06298             19        0.07%
是      U+0662F             19        0.07%
林      U+06797             19        0.07%
羌      U+07F8C             19        0.07%
舒      U+08212             19        0.07%
苦      U+082E6             19        0.07%
虽      U+0867D             19        0.07%
载      U+08F7D             19        0.07%
首      U+09996             19        0.07%
马      U+09A6C             19        0.07%
丘      U+04E18             18        0.07%
兹      U+05179             18        0.07%
咸      U+054B8             18        0.07%
岁      U+05C81             18        0.07%
干      U+05E72             18        0.07%
弃      U+05F03             18        0.07%
征      U+05F81             18        0.07%
意      U+0610F             18        0.07%
曲      U+066F2             18        0.07%
树      U+06811             18        0.07%
衣      U+08863             18        0.07%
通      U+0901A             18        0.07%
介      U+04ECB             17        0.06%
初      U+0521D             17        0.06%
化      U+05316             17        0.06%
告      U+0544A             17        0.06%
声      U+058F0             17        0.06%
复      U+0590D             17        0.06%
宿      U+05BBF             17        0.06%
改      U+06539             17        0.06%
春      U+06625             17        0.06%
步      U+06B65             17        0.06%
疑      U+07591             17        0.06%
翼      U+07FFC             17        0.06%
诚      U+08BDA             17        0.06%
野      U+091CE             17        0.06%
错      U+09519             17        0.06%
集      U+096C6             17        0.06%
齐      U+09F50             17        0.06%
令      U+04EE4             16        0.06%
