Char   Codepoint     Frequency   Percentage
离      U+079BB             72        0.12%
说      U+08BF4             72        0.12%
又      U+053C8             71        0.12%
吹      U+05439             71        0.12%
毛      U+06BDB             71        0.12%
冠      U+051A0             70        0.12%
故      U+06545             70        0.12%
自      U+081EA             70        0.12%
十      U+05341             69        0.12%
回      U+056DE             69        0.12%
煜      U+0715C             69        0.12%
两      U+04E24             68        0.12%
吴      U+05434             68        0.12%
好      U+0597D             68        0.12%
细      U+07EC6             68        0.12%
舞      U+0821E             68        0.12%
似      U+04F3C             67        0.11%
波      U+06CE2             67        0.11%
晓      U+06653             66        0.11%
暮      U+066AE             66        0.11%
檀      U+06A80             66        0.11%
沉      U+06C89             66        0.11%
竹      U+07AF9             66        0.11%
过      U+08FC7             66        0.11%
还      U+08FD8             66        0.11%
动      U+052A8             65        0.11%
含      U+0542B             65        0.11%
外      U+05916             65        0.11%
少      U+05C11             65        0.11%
微      U+05FAE             65        0.11%
楚      U+0695A             65        0.11%
游      U+06E38             65        0.11%
脸      U+08138             65        0.11%
乡      U+04E61             64        0.11%
信      U+04FE1             64        0.11%
文      U+06587             64        0.11%
而      U+0800C             64        0.11%
其      U+05176             63        0.11%
宪      U+05BAA             63        0.11%
桃      U+06843             63        0.11%
知      U+077E5             63        0.11%
边      U+08FB9             63        0.11%
华      U+0534E             62        0.10%
汉      U+06C49             62        0.10%
萧      U+08427             62        0.10%
入      U+05165             61        0.10%
出      U+051FA             61        0.10%
同      U+0540C             61        0.10%
正      U+06B63             61        0.10%
露      U+09732             61        0.10%
对      U+05BF9             60        0.10%
钗      U+09497             60        0.10%
音      U+097F3             60        0.10%
顾      U+0987E             60        0.10%
苏      U+082CF             59        0.10%
越      U+08D8A             59        0.10%
难      U+096BE             59        0.10%
句      U+053E5             58        0.10%
隔      U+09694             58        0.10%
集      U+096C6             58        0.10%
鬓      U+09B13             58        0.10%
啼      U+0557C             57        0.10%
喻      U+055BB             57        0.10%
旧      U+065E7             57        0.10%
朝      U+0671D             57        0.10%
比      U+06BD4             57        0.10%
谢      U+08C22             57        0.10%
与      U+04E0E             56        0.09%
于      U+04E8E             56        0.09%
卷      U+05377             56        0.09%
宋      U+05B8B             56        0.09%
寂      U+05BC2             56        0.09%
面      U+09762             56        0.09%
凝      U+051DD             55        0.09%
约      U+07EA6             55        0.09%
冷      U+051B7             54        0.09%
娇      U+05A07             54        0.09%
掩      U+063A9             54        0.09%
敻      U+0657B             54        0.09%
泉      U+06CC9             54        0.09%
堂      U+05802             53        0.09%
庄      U+05E84             53        0.09%
影      U+05F71             53        0.09%
池      U+06C60             53        0.09%
消      U+06D88             53        0.09%
笼      U+07B3C             53        0.09%
荷      U+08377             53        0.09%
路      U+08DEF             53        0.09%
韦      U+097E6             53        0.09%
了      U+04E86             52        0.09%
暖      U+06696             52        0.09%
横      U+06A2A             52        0.09%
纤      U+07EA4             52        0.09%
遥      U+09065             52        0.09%
杯      U+0676F             51        0.09%
殿      U+06BBF             51        0.09%
炉      U+07089             51        0.09%
笑      U+07B11             51        0.09%
缕      U+07F15             51        0.09%
道      U+09053             51        0.09%
几      U+051E0             50        0.08%
可      U+053EF             50        0.08%
谁      U+08C01             50        0.08%
尘      U+05C18             49        0.08%
已      U+05DF2             49        0.08%
忆      U+05FC6             49        0.08%
期      U+0671F             49        0.08%
步      U+06B65             49        0.08%
牛      U+0725B             49        0.08%
独      U+072EC             49        0.08%
雁      U+096C1             49        0.08%
鸯      U+09E2F             49        0.08%
黛      U+09EDB             49        0.08%
万      U+04E07             48        0.08%
低      U+04F4E             48        0.08%
皇      U+07687             48        0.08%
钿      U+094BF             48        0.08%
余      U+04F59             47        0.08%
堪      U+0582A             47        0.08%
怅      U+06005             47        0.08%
映      U+06620             47        0.08%
物      U+07269             47        0.08%
银      U+094F6             47        0.08%
关      U+05173             46        0.08%
应      U+05E94             46        0.08%
惊      U+060CA             46        0.08%
杏      U+0674F             46        0.08%
样      U+06837             46        0.08%
湘      U+06E58             46        0.08%
点      U+070B9             46        0.08%
等      U+07B49             46        0.08%
到      U+05230             45        0.08%
制      U+05236             45        0.08%
北      U+05317             45        0.08%
居      U+05C45             45        0.08%
镜      U+0955C             45        0.08%
全      U+05168             44        0.07%
因      U+056E0             44        0.07%
张      U+05F20             44        0.07%
敛      U+0655B             44        0.07%
经      U+07ECF             44        0.07%
船      U+08239             44        0.07%
节      U+08282             44        0.07%
