Char   Codepoint     Frequency   Percentage
劉      U+05289          24387        0.11%
難      U+096E3          24320        0.11%
到      U+05230          24104        0.11%
傳      U+050B3          24062        0.11%
先      U+05148          23393        0.11%
樂      U+06A02          23304        0.10%
須      U+09808          23295        0.10%
絕      U+07D55          23294        0.10%
懷      U+061F7          23283        0.10%
起      U+08D77          23272        0.10%
竹      U+07AF9          23214        0.10%
官      U+05B98          23203        0.10%
外      U+05916          23184        0.10%
幾      U+05E7E          23135        0.10%
歲      U+06B72          23116        0.10%
物      U+07269          23029        0.10%
故      U+06545          22859        0.10%
神      U+0795E          22846        0.10%
坐      U+05750          22715        0.10%
仙      U+04ED9          22578        0.10%
溪      U+06EAA          22472        0.10%
情      U+060C5          22453        0.10%
回      U+056DE          22362        0.10%
晚      U+0665A          22238        0.10%
存      U+05B58          22143        0.10%
滿      U+06EFF          22138        0.10%
吾      U+0543E          22110        0.10%
餘      U+09918          22032        0.10%
衣      U+08863          21908        0.10%
笑      U+07B11          21898        0.10%
興      U+08208          21883        0.10%
北      U+05317          21806        0.10%
堂      U+05802          21748        0.10%
好      U+0597D          21723        0.10%
兩      U+05169          21647        0.10%
宗      U+05B97          21545        0.10%
者      U+08005          21518        0.10%
曾      U+066FE          21469        0.10%
別      U+05225          21406        0.10%
游      U+06E38          21326        0.10%
用      U+07528          20769        0.09%
豈      U+08C48          20726        0.09%
紅      U+07D05          20716        0.09%
向      U+05411          20713        0.09%
樓      U+06A13          20633        0.09%
字      U+05B57          20580        0.09%
問      U+0554F          20488        0.09%
國      U+0570B          20430        0.09%
至      U+081F3          20372        0.09%
松      U+0677E          20321        0.09%
留      U+07559          20290        0.09%
醉      U+09189          20122        0.09%
語      U+08A9E          20068        0.09%
樹      U+06A39          19963        0.09%
使      U+04F7F          19924        0.09%
學      U+05B78          19897        0.09%
吟      U+0541F          19806        0.09%
愁      U+06101          19386        0.09%
師      U+05E2B          19215        0.09%
亭      U+04EAD          19144        0.09%
陰      U+09670          19121        0.09%
葉      U+08449          19012        0.09%
内      U+05185          19004        0.09%
野      U+091CE          18952        0.09%
尚      U+05C1A          18902        0.09%
隨      U+096A8          18895        0.09%
幽      U+05E7D          18875        0.09%
若      U+082E5          18767        0.08%
庭      U+05EAD          18762        0.08%
觀      U+089C0          18614        0.08%
眼      U+0773C          18458        0.08%
德      U+05FB7          18440        0.08%
會      U+06703          18417        0.08%
又      U+053C8          18270        0.08%
因      U+056E0          18089        0.08%
喜      U+0559C          18026        0.08%
邊      U+0908A          18001        0.08%
泉      U+06CC9          17962        0.08%
經      U+07D93          17470        0.08%
半      U+0534A          17450        0.08%
舟      U+0821F          17415        0.08%
楊      U+0694A          17255        0.08%
閑      U+09591          17235        0.08%
登      U+0767B          17188        0.08%
霜      U+0971C          17186        0.08%
志      U+05FD7          17083        0.08%
常      U+05E38          16900        0.08%
集      U+096C6          16885        0.08%
夫      U+0592B          16718        0.08%
久      U+04E45          16676        0.08%
木      U+06728          16647        0.07%
孤      U+05B64          16594        0.07%
易      U+06613          16391        0.07%
通      U+0901A          16352        0.07%
逢      U+09022          16342        0.07%
含      U+0542B          16302        0.07%
終      U+07D42          16277        0.07%
吳      U+05433          16270        0.07%
數      U+06578          16241        0.07%
景      U+0666F          16148        0.07%
寺      U+05BFA          15998        0.07%
兮      U+0516E          15972        0.07%
許      U+08A31          15968        0.07%
枝      U+0679D          15950        0.07%
驚      U+09A5A          15949        0.07%
足      U+08DB3          15916        0.07%
章      U+07AE0          15831        0.07%
尋      U+05C0B          15815        0.07%
趙      U+08D99          15753        0.07%
對      U+05C0D          15715        0.07%
臨      U+081E8          15707        0.07%
臺      U+081FA          15658        0.07%
手      U+0624B          15618        0.07%
翁      U+07FC1          15601        0.07%
周      U+05468          15561        0.07%
却      U+05374          15459        0.07%
而      U+0800C          15453        0.07%
於      U+065BC          15389        0.07%
煙      U+07159          15325        0.07%
宮      U+05BAE          15323        0.07%
柳      U+067F3          15313        0.07%
說      U+08AAA          15295        0.07%
園      U+05712          15290        0.07%
勝      U+052DD          15238        0.07%
著      U+08457          15175        0.07%
郎      U+090CE          15139        0.07%
田      U+07530          15135        0.07%
宋      U+05B8B          15073        0.07%
微      U+05FAE          15072        0.07%
病      U+075C5          15042        0.07%
兒      U+05152          15027        0.07%
共      U+05171          14952        0.07%
只      U+053EA          14952        0.07%
定      U+05B9A          14944        0.07%
河      U+06CB3          14923        0.07%
陸      U+09678          14886        0.07%
覺      U+089BA          14802        0.07%
