Char   Codepoint     Frequency   Percentage
片      U+07247             24        0.12%
船      U+08239             24        0.12%
身      U+08EAB             24        0.12%
近      U+08FD1             24        0.12%
首      U+09996             24        0.12%
么      U+04E48             23        0.11%
刘      U+05218             23        0.11%
原      U+0539F             23        0.11%
寺      U+05BFA             23        0.11%
意      U+0610F             23        0.11%
旧      U+065E7             23        0.11%
残      U+06B8B             23        0.11%
烟      U+070DF             23        0.11%
石      U+077F3             23        0.11%
金      U+091D1             23        0.11%
两      U+04E24             22        0.11%
亲      U+04EB2             22        0.11%
听      U+0542C             22        0.11%
悲      U+060B2             22        0.11%
早      U+065E9             22        0.11%
景      U+0666F             22        0.11%
死      U+06B7B             22        0.11%
牛      U+0725B             22        0.11%
田      U+07530             22        0.11%
登      U+0767B             22        0.11%
绿      U+07EFF             22        0.11%
美      U+07F8E             22        0.11%
萧      U+08427             22        0.11%
问      U+095EE             22        0.11%
书      U+04E66             21        0.10%
亮      U+04EAE             21        0.10%
似      U+04F3C             21        0.10%
动      U+052A8             21        0.10%
安      U+05B89             21        0.10%
官      U+05B98             21        0.10%
带      U+05E26             21        0.10%
更      U+066F4             21        0.10%
未      U+0672A             21        0.10%
留      U+07559             21        0.10%
百      U+0767E             21        0.10%
红      U+07EA2             21        0.10%
二      U+04E8C             20        0.10%
它      U+05B83             20        0.10%
打      U+06253             20        0.10%
欲      U+06B32             20        0.10%
游      U+06E38             20        0.10%
甫      U+0752B             20        0.10%
谁      U+08C01             20        0.10%
那      U+090A3             20        0.10%
隐      U+09690             20        0.10%
九      U+04E5D             19        0.09%
也      U+04E5F             19        0.09%
五      U+04E94             19        0.09%
傍      U+0508D             19        0.09%
半      U+0534A             19        0.09%
四      U+056DB             19        0.09%
园      U+056ED             19        0.09%
场      U+0573A             19        0.09%
庭      U+05EAD             19        0.09%
想      U+060F3             19        0.09%
断      U+065AD             19        0.09%
汉      U+06C49             19        0.09%
泊      U+06CCA             19        0.09%
物      U+07269             19        0.09%
现      U+073B0             19        0.09%
闻      U+095FB             19        0.09%
乐      U+04E50             18        0.09%
使      U+04F7F             18        0.09%
儿      U+0513F             18        0.09%
凄      U+051C4             18        0.09%
叫      U+053EB             18        0.09%
夕      U+05915             18        0.09%
宿      U+05BBF             18        0.09%
念      U+05FF5             18        0.09%
恨      U+06068             18        0.09%
正      U+06B63             18        0.09%
牧      U+07267             18        0.09%
种      U+079CD             18        0.09%
苦      U+082E6             18        0.09%
荒      U+08352             18        0.09%
重      U+091CD             18        0.09%
什      U+04EC0             17        0.08%
会      U+04F1A             17        0.08%
冰      U+051B0             17        0.08%
怨      U+06028             17        0.08%
手      U+0624B             17        0.08%
易      U+06613             17        0.08%
暗      U+06697             17        0.08%
民      U+06C11             17        0.08%
气      U+06C14             17        0.08%
湖      U+06E56             17        0.08%
潮      U+06F6E             17        0.08%
眼      U+0773C             17        0.08%
隔      U+09694             17        0.08%
静      U+09759             17        0.08%
世      U+04E16             16        0.08%
临      U+04E34             16        0.08%
于      U+04E8E             16        0.08%
住      U+04F4F             16        0.08%
农      U+0519C             16        0.08%
寂      U+05BC2             16        0.08%
少      U+05C11             16        0.08%
应      U+05E94             16        0.08%
所      U+06240             16        0.08%
映      U+06620             16        0.08%
柳      U+067F3             16        0.08%
漫      U+06F2B             16        0.08%
灯      U+0706F             16        0.08%
轻      U+08F7B             16        0.08%
鸣      U+09E23             16        0.08%
伤      U+04F24             15        0.07%
候      U+05019             15        0.07%
口      U+053E3             15        0.07%
士      U+058EB             15        0.07%
寄      U+05BC4             15        0.07%
影      U+05F71             15        0.07%
斜      U+0659C             15        0.07%
楚      U+0695A             15        0.07%
沉      U+06C89             15        0.07%
火      U+0706B             15        0.07%
炭      U+070AD             15        0.07%
病      U+075C5             15        0.07%
贫      U+08D2B             15        0.07%
走      U+08D70             15        0.07%
车      U+08F66             15        0.07%
逢      U+09022             15        0.07%
间      U+095F4             15        0.07%
陵      U+09675             15        0.07%
音      U+097F3             15        0.07%
食      U+098DF             15        0.07%
县      U+053BF             14        0.07%
友      U+053CB             14        0.07%
吴      U+05434             14        0.07%
唐      U+05510             14        0.07%
啼      U+0557C             14        0.07%
失      U+05931             14        0.07%
张      U+05F20             14        0.07%
息      U+0606F             14        0.07%
惊      U+060CA             14        0.07%
才      U+0624D             14        0.07%
村      U+06751             14        0.07%
条      U+06761             14        0.07%
波      U+06CE2             14        0.07%
浮      U+06D6E             14        0.07%
渡      U+06E21             14        0.07%
爱      U+07231             14        0.07%
犹      U+072B9             14        0.07%
瑟      U+0745F             14        0.07%
疑      U+07591             14        0.07%
禁      U+07981             14        0.07%
给      U+07ED9             14        0.07%
群      U+07FA4             14        0.07%
舟      U+0821F             14        0.07%
节      U+08282             14        0.07%
茫      U+0832B             14        0.07%
露      U+09732             14        0.07%
饮      U+0996E             14        0.07%
乱      U+04E71             13        0.06%
令      U+04EE4             13        0.06%
依      U+04F9D             13        0.06%
华      U+0534E             13        0.06%
哀      U+054C0             13        0.06%
商      U+05546             13        0.06%
复      U+0590D             13        0.06%
她      U+05979             13        0.06%
岁      U+05C81             13        0.06%
帆      U+05E06             13        0.06%
常      U+05E38             13        0.06%
往      U+05F80             13        0.06%
把      U+0628A             13        0.06%
斗      U+06597             13        0.06%
木      U+06728             13        0.06%
杯      U+0676F             13        0.06%
桥      U+06865             13        0.06%
滚      U+06EDA             13        0.06%
疏      U+0758F             13        0.06%
碧      U+078A7             13        0.06%
绝      U+07EDD             13        0.06%
表      U+08868             13        0.06%
转      U+08F6C             13        0.06%
钟      U+0949F             13        0.06%
丈      U+04E08             12        0.06%
但      U+04F46             12        0.06%
你      U+04F60             12        0.06%
再      U+0518D             12        0.06%
呢      U+05462             12        0.06%
坐      U+05750             12        0.06%
夫      U+0592B             12        0.06%
寻      U+05BFB             12        0.06%
描      U+063CF             12        0.06%
收      U+06536             12        0.06%
晓      U+06653             12        0.06%
松      U+0677E             12        0.06%
洛      U+06D1B             12        0.06%
活      U+06D3B             12        0.06%
珠      U+073E0             12        0.06%
立      U+07ACB             12        0.06%
胡      U+080E1             12        0.06%
芦      U+082A6             12        0.06%
识      U+08BC6             12        0.06%
迹      U+08FF9             12        0.06%
通      U+0901A             12        0.06%
银      U+094F6             12        0.06%
锦      U+09526             12        0.06%
闲      U+095F2             12        0.06%
随      U+0968F             12        0.06%
业      U+04E1A             11        0.05%
京      U+04EAC             11        0.05%
停      U+0505C             11        0.05%
元      U+05143             11        0.05%
八      U+0516B             11        0.05%
兴      U+05174             11        0.05%
况      U+051B5             11        0.05%
即      U+05373             11        0.05%
历      U+05386             11        0.05%
变      U+053D8             11        0.05%
喜      U+0559C             11        0.05%
定      U+05B9A             11        0.05%
尘      U+05C18             11        0.05%
帝      U+05E1D             11        0.05%
戍      U+0620D             11        0.05%
房      U+0623F             11        0.05%
散      U+06563             11        0.05%
朋      U+0670B             11        0.05%
枫      U+067AB             11        0.05%
浩      U+06D69             11        0.05%
漠      U+06F20             11        0.05%
盛      U+076DB             11        0.05%
终      U+07EC8             11        0.05%
翁      U+07FC1             11        0.05%
苍      U+082CD             11        0.05%
蜀      U+08700             11        0.05%
觉      U+089C9             11        0.05%
象      U+08C61             11        0.05%
足      U+08DB3             11        0.05%
迟      U+08FDF             11        0.05%
遇      U+09047             11        0.05%
采      U+091C7             11        0.05%
剑      U+05251             10        0.05%
卷      U+05377             10        0.05%
参      U+053C2             10        0.05%
反      U+053CD             10        0.05%
受      U+053D7             10        0.05%
史      U+053F2             10        0.05%
哭      U+054ED             10        0.05%
嫁      U+05AC1             10        0.05%
密      U+05BC6             10        0.05%
射      U+05C04             10        0.05%
川      U+05DDD             10        0.05%
并      U+05E76             10        0.05%
幽      U+05E7D             10        0.05%
度      U+05EA6             10        0.05%
异      U+05F02             10        0.05%
弦      U+05F26             10        0.05%
怜      U+0601C             10        0.05%
悠      U+060A0             10        0.05%
慨      U+06168             10        0.05%
户      U+06237             10        0.05%
拂      U+062C2             10        0.05%
指      U+06307             10        0.05%
放      U+0653E             10        0.05%
敢      U+06562             10        0.05%
旅      U+065C5             10        0.05%
旗      U+065D7             10        0.05%
昏      U+0660F             10        0.05%
枝      U+0679D             10        0.05%
每      U+06BCF             10        0.05%
洞      U+06D1E             10        0.05%
洲      U+06D32             10        0.05%
涯      U+06DAF             10        0.05%
淮      U+06DEE             10        0.05%
溪      U+06EAA             10        0.05%
燕      U+071D5             10        0.05%
直      U+076F4             10        0.05%
秦      U+079E6             10        0.05%
穿      U+07A7F             10        0.05%
章      U+07AE0             10        0.05%
竹      U+07AF9             10        0.05%
筑      U+07B51             10        0.05%
维      U+07EF4             10        0.05%
角      U+089D2             10        0.05%
言      U+08A00             10        0.05%
进      U+08FDB             10        0.05%
锡      U+09521             10        0.05%
雾      U+096FE             10        0.05%
霜      U+0971C             10        0.05%
鹤      U+09E64             10        0.05%
侵      U+04FB5              9        0.04%
信      U+04FE1              9        0.04%
做      U+0505A              9        0.04%
卖      U+05356              9        0.04%
周      U+05468              9        0.04%
咏      U+0548F              9        0.04%
响      U+054CD              9        0.04%
土      U+0571F              9        0.04%
妇      U+05987              9        0.04%
实      U+05B9E              9        0.04%
峰      U+05CF0              9        0.04%
建      U+05EFA              9        0.04%
很      U+05F88              9        0.04%
文      U+06587              9        0.04%
族      U+065CF              9        0.04%
昔      U+06614              9        0.04%
暖      U+06696              9        0.04%
最      U+06700              9        0.04%
渔      U+06E14              9        0.04%
湿      U+06E7F              9        0.04%
点      U+070B9              9        0.04%
禹      U+079B9              9        0.04%
窗      U+07A97              9        0.04%
耕      U+08015              9        0.04%
舞      U+0821E              9        0.04%
让      U+08BA9              9        0.04%
语      U+08BED              9        0.04%
诸      U+08BF8              9        0.04%
谷      U+08C37              9        0.04%
韦      U+097E6              9        0.04%
顾      U+0987E              9        0.04%
丝      U+04E1D              8        0.04%
代      U+04EE3              8        0.04%
先      U+05148              8        0.04%
兵      U+05175              8        0.04%
初      U+0521D              8        0.04%
劳      U+052B3              8        0.04%
卧      U+05367              8        0.04%
哪      U+054EA              8        0.04%
唱      U+05531              8        0.04%
壁      U+058C1              8        0.04%
姑      U+059D1              8        0.04%
娘      U+05A18              8        0.04%
孟      U+05B5F              8        0.04%
宗      U+05B97              8        0.04%
尚      U+05C1A              8        0.04%
岑      U+05C91              8        0.04%
岸      U+05CB8              8        0.04%
市      U+05E02              8        0.04%
干      U+05E72              8        0.04%
报      U+062A5              8        0.04%
晴      U+06674              8        0.04%
比      U+06BD4              8        0.04%
消      U+06D88              8        0.04%
涧      U+06DA7              8        0.04%
湘      U+06E58              8        0.04%
灵      U+07075              8        0.04%
烛      U+070DB              8        0.04%
父      U+07236              8        0.04%
牵      U+07275              8        0.04%
益      U+076CA              8        0.04%
盘      U+076D8              8        0.04%
眠      U+07720              8        0.04%
睡      U+07761              8        0.04%
竟      U+07ADF              8        0.04%
端      U+07AEF              8        0.04%
笼      U+07B3C              8        0.04%
精      U+07CBE              8        0.04%
系      U+07CFB              8        0.04%
绘      U+07ED8              8        0.04%
翠      U+07FE0              8        0.04%
舍      U+0820D              8        0.04%
芳      U+082B3              8        0.04%
葛      U+0845B              8        0.04%
薄      U+08584              8        0.04%
蝉      U+08749              8        0.04%
请      U+08BF7              8        0.04%
谢      U+08C22              8        0.04%
达      U+08FBE              8        0.04%
连      U+08FDE              8        0.04%
途      U+09014              8        0.04%
遗      U+09057              8        0.04%
邻      U+090BB              8        0.04%
郊      U+090CA              8        0.04%
钱      U+094B1              8        0.04%
阴      U+09634              8        0.04%
零      U+096F6              8        0.04%
驿      U+09A7F              8        0.04%
鬓      U+09B13              8        0.04%
主      U+04E3B              7        0.03%
亡      U+04EA1              7        0.03%
伴      U+04F34              7        0.03%
低      U+04F4E              7        0.03%
便      U+04FBF              7        0.03%
修      U+04FEE              7        0.03%
凤      U+051E4              7        0.03%
凭      U+051ED              7        0.03%
刺      U+0523A              7        0.03%
卿      U+0537F              7        0.03%
同      U+0540C              7        0.03%
名      U+0540D              7        0.03%
吟      U+0541F              7        0.03%
哥      U+054E5              7        0.03%
境      U+05883              7        0.03%
备      U+05907              7        0.03%
始      U+059CB              7        0.03%
帘      U+05E18              7        0.03%
广      U+05E7F              7        0.03%
庄      U+05E84              7        0.03%
店      U+05E97              7        0.03%
庙      U+05E99              7        0.03%
廷      U+05EF7              7        0.03%
弓      U+05F13              7        0.03%
弯      U+05F2F              7        0.03%
径      U+05F84              7        0.03%
微      U+05FAE              7        0.03%
忆      U+05FC6              7        0.03%
快      U+05FEB              7        0.03%
愿      U+0613F              7        0.03%
扬      U+0626C              7        0.03%
数      U+06570              7        0.03%
晨      U+06668              7        0.03%
曾      U+066FE              7        0.03%
期      U+0671F              7        0.03%
杀      U+06740              7        0.03%
梁      U+06881              7        0.03%
次      U+06B21              7        0.03%
泉      U+06CC9              7        0.03%
法      U+06CD5              7        0.03%
泛      U+06CDB              7        0.03%
泥      U+06CE5              7        0.03%
渐      U+06E10              7        0.03%
渚      U+06E1A              7        0.03%
漂      U+06F02              7        0.03%
猿      U+0733F              7        0.03%
皇      U+07687              7        0.03%
真      U+0771F              7        0.03%
移      U+079FB              7        0.03%
穷      U+07A77              7        0.03%
管      U+07BA1              7        0.03%
细      U+07EC6              7        0.03%
结      U+07ED3              7        0.03%
绕      U+07ED5              7        0.03%
罗      U+07F57              7        0.03%
荡      U+08361              7        0.03%
莺      U+083BA              7        0.03%
营      U+08425              7        0.03%
赏      U+08D4F              7        0.03%
辛      U+08F9B              7        0.03%
返      U+08FD4              7        0.03%
铁      U+094C1              7        0.03%
闺      U+095FA              7        0.03%
阁      U+09601              7        0.03%
阔      U+09614              7        0.03%
阻      U+0963B              7        0.03%
际      U+09645              7        0.03%
限      U+09650              7        0.03%
院      U+09662              7        0.03%
雄      U+096C4              7        0.03%
集      U+096C6              7        0.03%
靠      U+09760              7        0.03%
黑      U+09ED1              7        0.03%
黯      U+09EEF              7        0.03%
鼓      U+09F13              7        0.03%
七      U+04E03              6        0.03%
仙      U+04ED9              6        0.03%
余      U+04F59              6        0.03%
倒      U+05012              6        0.03%
偷      U+05077              6        0.03%
共      U+05171              6        0.03%
冥      U+051A5              6        0.03%
冻      U+051BB              6        0.03%
凰      U+051F0              6        0.03%
刀      U+05200              6        0.03%
刚      U+0521A              6        0.03%
功      U+0529F              6        0.03%
势      U+052BF              6        0.03%
化      U+05316              6        0.03%
升      U+05347              6        0.03%
双      U+053CC              6        0.03%
取      U+053D6              6        0.03%
吃      U+05403              6        0.03%
含      U+0542B              6        0.03%
困      U+056F0              6        0.03%
圆      U+05706              6        0.03%
垂      U+05782              6        0.03%
垒      U+05792              6        0.03%
堪      U+0582A              6        0.03%
婆      U+05A46              6        0.03%
层      U+05C42              6        0.03%
屋      U+05C4B              6        0.03%
弟      U+05F1F              6        0.03%
待      U+05F85              6        0.03%
忽      U+05FFD              6        0.03%
惜      U+060DC              6        0.03%
扑      U+06251              6        0.03%
扫      U+0626B              6        0.03%
抒      U+06292              6        0.03%
摇      U+06447              6        0.03%
晋      U+0664B              6        0.03%
曙      U+066D9              6        0.03%
朱      U+06731              6        0.03%
朵      U+06735              6        0.03%
极      U+06781              6        0.03%
母      U+06BCD              6        0.03%
洗      U+06D17              6        0.03%
派      U+06D3E              6        0.03%
浪      U+06D6A              6        0.03%
烧      U+070E7              6        0.03%
特      U+07279              6        0.03%
用      U+07528              6        0.03%
画      U+0753B              6        0.03%
神      U+0795E              6        0.03%
称      U+079F0              6        0.03%
稀      U+07A00              6        0.03%
程      U+07A0B              6        0.03%
童      U+07AE5              6        0.03%
至      U+081F3              6        0.03%
舒      U+08212              6        0.03%
莫      U+083AB              6        0.03%
著      U+08457              6        0.03%
蕃      U+08543              6        0.03%
虫      U+0866B              6        0.03%
虽      U+0867D              6        0.03%
词      U+08BCD              6        0.03%
败      U+08D25              6        0.03%
迢      U+08FE2              6        0.03%
锁      U+09501              6        0.03%
镜      U+0955C              6        0.03%
防      U+09632              6        0.03%
雀      U+096C0              6        0.03%
题      U+09898              6        0.03%
香      U+09999              6        0.03%
骑      U+09A91              6        0.03%
骨      U+09AA8              6        0.03%
鹭      U+09E6D              6        0.03%
齐      U+09F50              6        0.03%
龙      U+09F99              6        0.03%
久      U+04E45              5        0.02%
乌      U+04E4C              5        0.02%
乘      U+04E58              5        0.02%
争      U+04E89              5        0.02%
些      U+04E9B              5        0.02%
仍      U+04ECD              5        0.02%
偏      U+0504F              5        0.02%
催      U+050AC              5        0.02%
内      U+05185              5        0.02%
冬      U+051AC              5        0.02%
决      U+051B3              5        0.02%
凝      U+051DD              5        0.02%
创      U+0521B              5        0.02%
刮      U+0522E              5        0.02%
割      U+05272              5        0.02%
加      U+052A0              5        0.02%
单      U+05355              5        0.02%
卢      U+05362              5        0.02%
厚      U+0539A              5        0.02%
司      U+053F8              5        0.02%
吊      U+0540A              5        0.02%
味      U+05473              5        0.02%
呼      U+0547C              5        0.02%
品      U+054C1              5        0.02%
圣      U+05723              5        0.02%
塘      U+05858              5        0.02%
姓      U+059D3              5        0.02%
字      U+05B57              5        0.02%
守      U+05B88              5        0.02%
宝      U+05B9D              5        0.02%
室      U+05BA4              5        0.02%
寞      U+05BDE              5        0.02%
封      U+05C01              5        0.02%
岳      U+05CB3              5        0.02%
峡      U+05CE1              5        0.02%
崔      U+05D14              5        0.02%
弃      U+05F03              5        0.02%
怕      U+06015              5        0.02%
惟      U+060DF              5        0.02%
惨      U+060E8              5        0.02%
愧      U+06127              5        0.02%
托      U+06258              5        0.02%
护      U+062A4              5        0.02%
接      U+063A5              5        0.02%
教      U+06559              5        0.02%
旷      U+065F7              5        0.02%
昌      U+0660C              5        0.02%
本      U+0672C              5        0.02%
柴      U+067F4              5        0.02%
桃      U+06843              5        0.02%
桑      U+06851              5        0.02%
横      U+06A2A              5        0.02%
歇      U+06B47              5        0.02%
殿      U+06BBF              5        0.02%
温      U+06E29              5        0.02%
灞      U+0705E              5        0.02%
玄      U+07384              5        0.02%
环      U+073AF              5        0.02%
由      U+07531              5        0.02%
痛      U+075DB              5        0.02%
盖      U+076D6              5        0.02%
盗      U+076D7              5        0.02%
破      U+07834              5        0.02%
禅      U+07985              5        0.02%
税      U+07A0E              5        0.02%
笔      U+07B14              5        0.02%
笛      U+07B1B              5        0.02%
等      U+07B49              5        0.02%
答      U+07B54              5        0.02%
紧      U+07D27              5        0.02%
繁      U+07E41              5        0.02%
纵      U+07EB5              5        0.02%
织      U+07EC7              5        0.02%
绪      U+07EEA              5        0.02%
罢      U+07F62              5        0.02%
耀      U+08000              5        0.02%
良      U+0826F              5        0.02%
艰      U+08270              5        0.02%
英      U+082F1              5        0.02%
茂      U+08302              5        0.02%
荆      U+08346              5        0.02%
药      U+0836F              5        0.02%
莲      U+083B2              5        0.02%
菊      U+083CA              5        0.02%
蓬      U+084EC              5        0.02%
衰      U+08870              5        0.02%
认      U+08BA4              5        0.02%
贤      U+08D24              5        0.02%
贼      U+08D3C              5        0.02%
踪      U+08E2A              5        0.02%
辽      U+08FBD              5        0.02%
递      U+09012              5        0.02%
遮      U+0906E              5        0.02%
郎      U+090CE              5        0.02%
郭      U+090ED              5        0.02%
醉      U+09189              5        0.02%
阙      U+09619              5        0.02%
阵      U+09635              5        0.02%
阶      U+09636              5        0.02%
降      U+0964D              5        0.02%
韩      U+097E9              5        0.02%
饰      U+09970              5        0.02%
馆      U+09986              5        0.02%
鸿      U+09E3F              5        0.02%
丧      U+04E27              4        0.02%
丰      U+04E30              4        0.02%
丽      U+04E3D              4        0.02%
