Char   Codepoint     Frequency   Percentage
沙      U+06C99           3828        0.12%
残      U+06B8B           3824        0.12%
台      U+053F0           3817        0.12%
也      U+04E5F           3793        0.12%
入      U+05165           3776        0.12%
波      U+06CE2           3766        0.12%
了      U+04E86           3759        0.12%
张      U+05F20           3741        0.12%
却      U+05374           3740        0.12%
岁      U+05C81           3719        0.12%
边      U+08FB9           3719        0.12%
龙      U+09F99           3691        0.11%
记      U+08BB0           3655        0.11%
曲      U+066F2           3654        0.11%
郎      U+090CE           3649        0.11%
湖      U+06E56           3638        0.11%
娇      U+05A07           3633        0.11%
半      U+0534A           3630        0.11%
气      U+06C14           3607        0.11%
从      U+04ECE           3594        0.11%
古      U+053E4           3587        0.11%
霜      U+0971C           3577        0.11%
两      U+04E24           3557        0.11%
阑      U+09611           3550        0.11%
斜      U+0659C           3504        0.11%
凉      U+051C9           3503        0.11%
共      U+05171           3454        0.11%
把      U+0628A           3454        0.11%
宫      U+05BAB           3452        0.11%
作      U+04F5C           3424        0.11%
诗      U+08BD7           3400        0.11%
百      U+0767E           3377        0.10%
离      U+079BB           3376        0.10%
和      U+0548C           3368        0.10%
氏      U+06C0F           3368        0.10%
暮      U+066AE           3358        0.10%
李      U+0674E           3356        0.10%
真      U+0771F           3352        0.10%
吴      U+05434           3303        0.10%
临      U+04E34           3290        0.10%
然      U+07136           3255        0.10%
著      U+08457           3250        0.10%
寿      U+05BFF           3248        0.10%
欢      U+06B22           3239        0.10%
海      U+06D77           3239        0.10%
度      U+05EA6           3219        0.10%
冷      U+051B7           3210        0.10%
暗      U+06697           3209        0.10%
念      U+05FF5           3208        0.10%
眉      U+07709           3194        0.10%
泪      U+06CEA           3181        0.10%
元      U+05143           3180        0.10%
先      U+05148           3175        0.10%
眼      U+0773C           3167        0.10%
世      U+04E16           3165        0.10%
手      U+0624B           3162        0.10%
文      U+06587           3160        0.10%
依      U+04F9D           3155        0.10%
忆      U+05FC6           3128        0.10%
神      U+0795E           3117        0.10%
且      U+04E14           3107        0.10%
书      U+04E66           3101        0.10%
疏      U+0758F           3094        0.10%
林      U+06797           3092        0.10%
照      U+07167           3073        0.10%
妆      U+05986           3071        0.10%
说      U+08BF4           3071        0.10%
将      U+05C06           3070        0.10%
竹      U+07AF9           3069        0.10%
细      U+07EC6           3064        0.09%
孤      U+05B64           3058        0.09%
首      U+09996           3054        0.09%
堪      U+0582A           3033        0.09%
珠      U+073E0           3026        0.09%
待      U+05F85           3018        0.09%
沈      U+06C88           3012        0.09%
杨      U+06768           3010        0.09%
安      U+05B89           3009        0.09%
之      U+04E4B           2999        0.09%
便      U+04FBF           2992        0.09%
字      U+05B57           2986        0.09%
数      U+06570           2986        0.09%
近      U+08FD1           2985        0.09%
可      U+053EF           2980        0.09%
公      U+0516C           2976        0.09%
园      U+056ED           2964        0.09%
听      U+0542C           2962        0.09%
堂      U+05802           2962        0.09%
横      U+06A2A           2962        0.09%
英      U+082F1           2954        0.09%
朱      U+06731           2944        0.09%
佳      U+04F73           2939        0.09%
吟      U+0541F           2931        0.09%
州      U+05DDE           2912        0.09%
刘      U+05218           2910        0.09%
独      U+072EC           2909        0.09%
惊      U+060CA           2899        0.09%
消      U+06D88           2875        0.09%
杯      U+0676F           2870        0.09%
马      U+09A6C           2870        0.09%
晴      U+06674           2863        0.09%
翁      U+07FC1           2860        0.09%
许      U+08BB8           2854        0.09%
罗      U+07F57           2852        0.09%
微      U+05FAE           2831        0.09%
寻      U+05BFB           2829        0.09%
尊      U+05C0A           2811        0.09%
莺      U+083BA           2802        0.09%
五      U+04E94           2799        0.09%
信      U+04FE1           2791        0.09%
桥      U+06865           2790        0.09%
随      U+0968F           2781        0.09%
幽      U+05E7D           2772        0.09%
星      U+0661F           2759        0.09%
垂      U+05782           2756        0.09%
浮      U+06D6E           2752        0.09%
凤      U+051E4           2749        0.09%
早      U+065E9           2749        0.09%
故      U+06545           2741        0.08%
亭      U+04EAD           2736        0.08%
池      U+06C60           2716        0.08%
大      U+05927           2699        0.08%
方      U+065B9           2685        0.08%
想      U+060F3           2675        0.08%
锦      U+09526           2672        0.08%
卷      U+05377           2619        0.08%
木      U+06728           2616        0.08%
赵      U+08D75           2616        0.08%
鬓      U+09B13           2578        0.08%
教      U+06559           2556        0.08%
紫      U+07D2B           2527        0.08%
转      U+08F6C           2520        0.08%
争      U+04E89           2519        0.08%
冰      U+051B0           2516        0.08%
陈      U+09648           2510        0.08%
传      U+04F20           2501        0.08%
树      U+06811           2498        0.08%
容      U+05BB9           2497        0.08%
淡      U+06DE1           2493        0.08%
蝶      U+08776           2475        0.08%
管      U+07BA1           2466        0.08%
舟      U+0821F           2466        0.08%
暖      U+06696           2460        0.08%
凝      U+051DD           2453        0.08%
景      U+0666F           2447        0.08%
发      U+053D1           2430        0.08%
丝      U+04E1D           2426        0.08%
但      U+04F46           2416        0.07%
带      U+05E26           2415        0.07%
灯      U+0706F           2414        0.07%
银      U+094F6           2410        0.07%
取      U+053D6           2406        0.07%
胜      U+080DC           2392        0.07%
肠      U+080A0           2383        0.07%
粉      U+07C89           2371        0.07%
底      U+05E95           2361        0.07%
绣      U+07EE3           2357        0.07%
节      U+08282           2357        0.07%
喜      U+0559C           2356        0.07%
身      U+08EAB           2355        0.07%
能      U+080FD           2350        0.07%
面      U+09762           2344        0.07%
乱      U+04E71           2341        0.07%
后      U+0540E           2318        0.07%
送      U+09001           2310        0.07%
试      U+08BD5           2302        0.07%
出      U+051FA           2301        0.07%
个      U+04E2A           2298        0.07%
凭      U+051ED           2267        0.07%
丹      U+04E39           2266        0.07%
雁      U+096C1           2265        0.07%
院      U+09662           2263        0.07%
散      U+06563           2248        0.07%
怀      U+06000           2227        0.07%
馀      U+09980           2227        0.07%
动      U+052A8           2223        0.07%
逢      U+09022           2218        0.07%
约      U+07EA6           2212        0.07%
浅      U+06D45           2204        0.07%
解      U+089E3           2204        0.07%
松      U+0677E           2180        0.07%
住      U+04F4F           2179        0.07%
袖      U+08896           2175        0.07%
令      U+04EE4           2171        0.07%
寄      U+05BC4           2170        0.07%
石      U+077F3           2170        0.07%
北      U+05317           2158        0.07%
干      U+05E72           2139        0.07%
期      U+0671F           2139        0.07%
宝      U+05B9D           2132        0.07%
琼      U+0743C           2125        0.07%
四      U+056DB           2111        0.07%
魂      U+09B42           2102        0.07%
觉      U+089C9           2088        0.06%
才      U+0624D           2085        0.06%
渐      U+06E10           2079        0.06%
鹤      U+09E64           2074        0.06%
催      U+050AC           2072        0.06%
河      U+06CB3           2071        0.06%
二      U+04E8C           2066        0.06%
醒      U+09192           2053        0.06%
浪      U+06D6A           2045        0.06%
九      U+04E5D           2044        0.06%
素      U+07D20           2039        0.06%
斗      U+06597           2034        0.06%
会      U+04F1A           2010        0.06%
端      U+07AEF           2009        0.06%
怕      U+06015           2008        0.06%
算      U+07B97           2005        0.06%
非      U+0975E           2004        0.06%
後      U+05F8C           2003        0.06%
静      U+09759           2003        0.06%
瑶      U+07476           2001        0.06%
枕      U+06795           1999        0.06%
要      U+08981           1997        0.06%
关      U+05173           1996        0.06%
惜      U+060DC           1986        0.06%
他      U+04ED6           1981        0.06%
渔      U+06E14           1981        0.06%
国      U+056FD           1971        0.06%
啼      U+0557C           1961        0.06%
飘      U+098D8           1960        0.06%
那      U+090A3           1957        0.06%
破      U+07834           1927        0.06%
定      U+05B9A           1925        0.06%
兴      U+05174           1922        0.06%
步      U+06B65           1920        0.06%
浣      U+06D63           1917        0.06%
连      U+08FDE           1915        0.06%
低      U+04F4E           1897        0.06%
永      U+06C38           1891        0.06%
周      U+05468           1881        0.06%
萧      U+08427           1877        0.06%
楚      U+0695A           1874        0.06%
伴      U+04F34           1870        0.06%
蓬      U+084EC           1868        0.06%
瘦      U+07626           1866        0.06%
鸾      U+09E3E           1864        0.06%
贺      U+08D3A           1857        0.06%
彩      U+05F69           1856        0.06%
遍      U+0904D           1854        0.06%
霞      U+0971E           1842        0.06%
薄      U+08584           1840        0.06%
怨      U+06028           1835        0.06%
浓      U+06D53           1835        0.06%
弄      U+05F04           1831        0.06%
乡      U+04E61           1825        0.06%
被      U+088AB           1824        0.06%
坐      U+05750           1820        0.06%
鱼      U+09C7C           1790        0.06%
奴      U+05974           1782        0.06%
迟      U+08FDF           1775        0.05%
奈      U+05948           1773        0.05%
凄      U+051C4           1767        0.05%
绕      U+07ED5           1757        0.05%
最      U+06700           1749        0.05%
