Char   Codepoint     Frequency   Percentage
客      U+05BA2           1067        0.06%
城      U+057CE           1061        0.06%
雨      U+096E8           1061        0.06%
流      U+06D41           1060        0.06%
小      U+05C0F           1055        0.06%
即      U+05373           1052        0.06%
氏      U+06C0F           1052        0.06%
更      U+066F4           1051        0.06%
也      U+04E5F           1048        0.06%
頭      U+0982D           1046        0.06%
校      U+06821           1041        0.06%
勝      U+052DD           1033        0.06%
居      U+05C45           1028        0.06%
載      U+08F09           1028        0.06%
語      U+08A9E           1024        0.06%
學      U+05B78           1022        0.06%
缺      U+07F3A           1017        0.06%
外      U+05916           1012        0.06%
注      U+06CE8           1002        0.06%
莫      U+083AB           1002        0.06%
伯      U+04F2F           1001        0.06%
堂      U+05802           1000        0.06%
話      U+08A71           1000        0.06%
劉      U+05289            989        0.06%
紀      U+07D00            988        0.06%
經      U+07D93            988        0.06%
皆      U+07686            986        0.06%
誰      U+08AB0            983        0.06%
欲      U+06B32            972        0.06%
說      U+08AAA            971        0.06%
祖      U+07956            970        0.06%
飛      U+098DB            968        0.06%
辛      U+08F9B            963        0.06%
兩      U+05169            949        0.06%
宗      U+05B97            949        0.06%
府      U+05E9C            947        0.06%
陳      U+09673            943        0.06%
占      U+05360            942        0.06%
氣      U+06C23            941        0.06%
思      U+0601D            934        0.06%
靜      U+0975C            931        0.06%
遠      U+09060            929        0.06%
至      U+081F3            921        0.05%
遊      U+0904A            920        0.05%
寒      U+05BD2            914        0.05%
縣      U+07E23            911        0.05%
藏      U+085CF            908        0.05%
寺      U+05BFA            906        0.05%
復      U+05FA9            902        0.05%
深      U+06DF1            901        0.05%
史      U+053F2            898        0.05%
色      U+08272            898        0.05%
通      U+0901A            897        0.05%
初      U+0521D            896        0.05%
難      U+096E3            893        0.05%
僧      U+050E7            891        0.05%
草      U+08349            891        0.05%
详      U+08BE6            889        0.05%
北      U+05317            887        0.05%
部      U+090E8            886        0.05%
黃      U+09EC3            884        0.05%
別      U+05225            880        0.05%
落      U+0843D            878        0.05%
過      U+0904E            873        0.05%
意      U+0610F            870        0.05%
舊      U+0820A            870        0.05%
法      U+06CD5            869        0.05%
代      U+04EE3            867        0.05%
異      U+07570            864        0.05%
補      U+088DC            863        0.05%
盡      U+076E1            862        0.05%
軍      U+08ECD            860        0.05%
英      U+082F1            857        0.05%
靈      U+09748            855        0.05%
起      U+08D77            850        0.05%
路      U+08DEF            850        0.05%
看      U+0770B            847        0.05%
吟      U+0541F            846        0.05%
常      U+05E38            846        0.05%
情      U+060C5            845        0.05%
酒      U+09152            843        0.05%
總      U+07E3D            838        0.05%
定      U+05B9A            835        0.05%
景      U+0666F            823        0.05%
目      U+076EE            821        0.05%
及      U+053CA            820        0.05%
故      U+06545            818        0.05%
刻      U+0523B            815        0.05%
據      U+064DA            808        0.05%
塵      U+05875            806        0.05%
里      U+091CC            804        0.05%
送      U+09001            801        0.05%
因      U+056E0            799        0.05%
香      U+09999            799        0.05%
曰      U+066F0            796        0.05%
辭      U+08FAD            794        0.05%
物      U+07269            786        0.05%
雜      U+096DC            784        0.05%
獨      U+07368            782        0.05%
圖      U+05716            778        0.05%
尚      U+05C1A            778        0.05%
餘      U+09918            778        0.05%
用      U+07528            771        0.05%
觀      U+089C0            766        0.05%
曾      U+066FE            762        0.05%
寶      U+05BF6            760        0.05%
聖      U+08056            755        0.04%
使      U+04F7F            752        0.04%
廣      U+05EE3            752        0.04%
衣      U+08863            751        0.04%
歲      U+06B72            750        0.04%
影      U+05F71            748        0.04%
泉      U+06CC9            745        0.04%
溪      U+06EAA            745        0.04%
章      U+07AE0            741        0.04%
主      U+04E3B            735        0.04%
懷      U+061F7            735        0.04%
官      U+05B98            729        0.04%
修      U+04FEE            728        0.04%
向      U+05411            728        0.04%
廟      U+05EDF            720        0.04%
丹      U+04E39            717        0.04%
洞      U+06D1E            713        0.04%
遺      U+0907A            707        0.04%
改      U+06539            706        0.04%
頌      U+0980C            705        0.04%
寄      U+05BC4            704        0.04%
到      U+05230            703        0.04%
次      U+06B21            701        0.04%
猶      U+07336            699        0.04%
湖      U+06E56            698        0.04%
嘉      U+05609            697        0.04%
編      U+07DE8            697        0.04%
臨      U+081E8            695        0.04%
苑      U+082D1            695        0.04%
夢      U+05922            689        0.04%
登      U+0767B            689        0.04%
郎      U+090CE            688        0.04%
坐      U+05750            686        0.04%
興      U+08208            685        0.04%
韻      U+097FB            684        0.04%
巖      U+05DD6            681        0.04%
類      U+0985E            681        0.04%
回      U+056DE            679        0.04%
玄      U+07384            678        0.04%
臺      U+081FA            678        0.04%
死      U+06B7B            676        0.04%
謂      U+08B02            671        0.04%
周      U+05468            670        0.04%
好      U+0597D            668        0.04%
令      U+04EE4            666        0.04%
合      U+05408            665        0.04%
著      U+08457            664        0.04%
絕      U+07D55            663        0.04%
吾      U+0543E            661        0.04%
諸      U+08AF8            661        0.04%
問      U+0554F            660        0.04%
庭      U+05EAD            656        0.04%
漢      U+06F22            654        0.04%
皇      U+07687            653        0.04%
雪      U+096EA            653        0.04%
樓      U+06A13            651        0.04%
虛      U+0865B            649        0.04%
陰      U+09670            649        0.04%
均      U+05747            648        0.04%
宮      U+05BAE            640        0.04%
吳      U+05433            639        0.04%
樹      U+06A39            638        0.04%
松      U+0677E            637        0.04%
的      U+07684            629        0.04%
夫      U+0592B            628        0.04%
幾      U+05E7E            626        0.04%
永      U+06C38            625        0.04%
鳥      U+09CE5            623        0.04%
竹      U+07AF9            622        0.04%
滿      U+06EFF            617        0.04%
擬      U+064EC            615        0.04%
河      U+06CB3            614        0.04%
隱      U+096B1            612        0.04%
亭      U+04EAD            608        0.04%
武      U+06B66            605        0.04%
偈      U+05048            604        0.04%
內      U+05167            604        0.04%
裏      U+088CF            602        0.04%
叢      U+053E2            600        0.04%
誤      U+08AA4            599        0.04%
終      U+07D42            596        0.04%
羅      U+07F85            596        0.04%
隨      U+096A8            596        0.04%
星      U+0661F            594        0.04%
木      U+06728            592        0.04%
閑      U+09591            592        0.04%
半      U+0534A            591        0.04%
或      U+06216            584        0.03%
数      U+06570            584        0.03%
數      U+06578            584        0.03%
禪      U+079AA            584        0.03%
功      U+0529F            583        0.03%
直      U+076F4            583        0.03%
贈      U+08D08            583        0.03%
留      U+07559            582        0.03%
逢      U+09022            574        0.03%
田      U+07530            571        0.03%
典      U+05178            569        0.03%
對      U+05C0D            569        0.03%
照      U+07167            562        0.03%
邊      U+0908A            562        0.03%
續      U+07E8C            561        0.03%
帝      U+05E1D            560        0.03%
詠      U+08A60            560        0.03%
野      U+091CE            560        0.03%
末      U+0672B            557        0.03%
紅      U+07D05            556        0.03%
陵      U+09675            556        0.03%
鏡      U+093E1            555        0.03%
任      U+04EFB            554        0.03%
葉      U+08449            553        0.03%
女      U+05973            552        0.03%
煙      U+07159            552        0.03%
項      U+09805            552        0.03%
列      U+05217            549        0.03%
休      U+04F11            548        0.03%
殘      U+06B98            547        0.03%
序      U+05E8F            546        0.03%
忽      U+05FFD            546        0.03%
豈      U+08C48            546        0.03%
斷      U+065B7            544        0.03%
識      U+08B58            544        0.03%
窗      U+07A97            542        0.03%
孫      U+05B6B            541        0.03%
尋      U+05C0B            539        0.03%
刊      U+0520A            538        0.03%
必      U+05FC5            538        0.03%
池      U+06C60            538        0.03%
波      U+06CE2            535        0.03%
輿      U+08F3F            533        0.03%
微      U+05FAE            531        0.03%
斯      U+065AF            529        0.03%
曲      U+066F2            527        0.03%
兒      U+05152            525        0.03%
論      U+08AD6            525        0.03%
近      U+08FD1            525        0.03%
化      U+05316            521        0.03%
愁      U+06101            521        0.03%
詞      U+08A5E            521        0.03%
則      U+05247            520        0.03%
眼      U+0773C            520        0.03%
足      U+08DB3            519        0.03%
立      U+07ACB            518        0.03%
附      U+09644            518        0.03%
却      U+05374            516        0.03%
錢      U+09322            514        0.03%
連      U+09023            512        0.03%
梵      U+068B5            511        0.03%
釋      U+091CB            511        0.03%
離      U+096E2            509        0.03%
他      U+04ED6            508        0.03%
都      U+090FD            508        0.03%
寧      U+05BE7            507        0.03%
楊      U+0694A            507        0.03%
依      U+04F9D            506        0.03%
考      U+08003            506        0.03%
喜      U+0559C            505        0.03%
參      U+053C3            504        0.03%
求      U+06C42            502        0.03%
幽      U+05E7D            499        0.03%
碧      U+078A7            499        0.03%
手      U+0624B            493        0.03%
鄉      U+09109            492        0.03%
珠      U+073E0            491        0.03%
動      U+052D5            490        0.03%
昔      U+06614            490        0.03%
魚      U+09B5A            489        0.03%
但      U+04F46            488        0.03%
始      U+059CB            488        0.03%
篇      U+07BC7            487        0.03%
浮      U+06D6E            486        0.03%
關      U+095DC            486        0.03%
期      U+0671F            485        0.03%
賢      U+08CE2            484        0.03%
久      U+04E45            483        0.03%
命      U+0547D            479        0.03%
便      U+04FBF            477        0.03%
奉      U+05949            476        0.03%
賦      U+08CE6            476        0.03%
火      U+0706B            473        0.03%
苦      U+082E6            473        0.03%
信      U+04FE1            472        0.03%
共      U+05171            472        0.03%
發      U+0767C            472        0.03%
解      U+089E3            472        0.03%
晚      U+0665A            471        0.03%
佛      U+04F5B            470        0.03%
署      U+07F72            470        0.03%
守      U+05B88            469        0.03%
沙      U+06C99            467        0.03%
轉      U+08F49            467        0.03%
惟      U+060DF            466        0.03%
雖      U+096D6            464        0.03%
杜      U+0675C            463        0.03%
慶      U+06176            461        0.03%
覺      U+089BA            458        0.03%
度      U+05EA6            456        0.03%
徐      U+05F90            456        0.03%
朱      U+06731            456        0.03%
笑      U+07B11            453        0.03%
節      U+07BC0            452        0.03%
口      U+053E3            451        0.03%
露      U+09732            449        0.03%
鄭      U+0912D            447        0.03%
鶴      U+09DB4            447        0.03%
取      U+053D6            445        0.03%
福      U+0798F            444        0.03%
輕      U+08F15            442        0.03%
郊      U+090CA            442        0.03%
往      U+05F80            440        0.03%
紫      U+07D2B            439        0.03%
臣      U+081E3            439        0.03%
芳      U+082B3            439        0.03%
驚      U+09A5A            438        0.03%
崔      U+05D14            437        0.03%
移      U+079FB            437        0.03%
碑      U+07891            436        0.03%
雙      U+096D9            436        0.03%
營      U+071DF            435        0.03%
齋      U+09F4B            435        0.03%
只      U+053EA            432        0.03%
趙      U+08D99            431        0.03%
閣      U+095A3            431        0.03%
楚      U+0695A            430        0.03%
窮      U+07AAE            429        0.03%
壁      U+058C1            428        0.03%
且      U+04E14            426        0.03%
幷      U+05E77            425        0.03%
禮      U+079AE            425        0.03%
面      U+09762            424        0.03%
孤      U+05B64            423        0.03%
精      U+07CBE            423        0.03%
早      U+065E9            422        0.03%
形      U+05F62            421        0.02%
龜      U+09F9C            421        0.02%
奇      U+05947            419        0.02%
許      U+08A31            419        0.02%
實      U+05BE6            418        0.02%
教      U+06559            417        0.02%
齊      U+09F4A            417        0.02%
指      U+06307            416        0.02%
柳      U+067F3            416        0.02%
筆      U+07B46            415        0.02%
纂      U+07E82            415        0.02%
理      U+07406            414        0.02%
鳴      U+09CF4            413        0.02%
才      U+0624D            412        0.02%
醉      U+09189            412        0.02%
民      U+06C11            410        0.02%
印      U+05370            408        0.02%
音      U+097F3            408        0.02%
霜      U+0971C            405        0.02%
義      U+07FA9            404        0.02%
畫      U+0756B            402        0.02%
垂      U+05782            401        0.02%
條      U+0689D            401        0.02%
冊      U+0518A            400        0.02%
象      U+08C61            400        0.02%
略      U+07565            399        0.02%
稱      U+07A31            399        0.02%
了      U+04E86            397        0.02%
羣      U+07FA3            395        0.02%
舉      U+08209            395        0.02%
善      U+05584            394        0.02%
等      U+07B49            394        0.02%
枝      U+0679D            393        0.02%
翠      U+07FE0            393        0.02%
舞      U+0821E            393        0.02%
于      U+04E8E            392        0.02%
力      U+0529B            392        0.02%
迴      U+08FF4            392        0.02%
住      U+04F4F            390        0.02%
戰      U+06230            390        0.02%
胡      U+080E1            389        0.02%
親      U+089AA            388        0.02%
侍      U+04F8D            387        0.02%
乾      U+04E7E            386        0.02%
緣      U+07DE3            385        0.02%
謝      U+08B1D            385        0.02%
聽      U+0807D            384        0.02%
舟      U+0821F            384        0.02%
感      U+0611F            383        0.02%
蘇      U+08607            383        0.02%
既      U+065E2            382        0.02%
乃      U+04E43            380        0.02%
宿      U+05BBF            380        0.02%
嚴      U+056B4            377        0.02%
峰      U+05CF0            377        0.02%
御      U+05FA1            377        0.02%
莊      U+0838A            377        0.02%
愛      U+0611B            376        0.02%
良      U+0826F            376        0.02%
谷      U+08C37            376        0.02%
寂      U+05BC2            375        0.02%
撰      U+064B0            375        0.02%
昌      U+0660C            375        0.02%
郡      U+090E1            375        0.02%
綠      U+07DA0            374        0.02%
聯      U+0806F            374        0.02%
破      U+07834            372        0.02%
壽      U+058FD            371        0.02%
秦      U+079E6            371        0.02%
病      U+075C5            370        0.02%
梅      U+06885            369        0.02%
稽      U+07A3D            369        0.02%
蒼      U+084BC            369        0.02%
虎      U+0864E            368        0.02%
蜀      U+08700            368        0.02%
翁      U+07FC1            367        0.02%
土      U+0571F            365        0.02%
宜      U+05B9C            364        0.02%
歷      U+06B77            364        0.02%
園      U+05712            363        0.02%
性      U+06027            363        0.02%
梁      U+06881            363        0.02%
爾      U+0723E            363        0.02%
步      U+06B65            362        0.02%
父      U+07236            362        0.02%
暮      U+066AE            361        0.02%
游      U+06E38            359        0.02%
業      U+0696D            358        0.02%
體      U+09AD4            358        0.02%
談      U+08AC7            357        0.02%
食      U+098DF            357        0.02%
司      U+053F8            356        0.02%
题      U+09898            356        0.02%
堪      U+0582A            355        0.02%
标      U+06807            355        0.02%
進      U+09032            354        0.02%
由      U+07531            353        0.02%
交      U+04EA4            351        0.02%
願      U+09858            351        0.02%
逸      U+09038            350        0.02%
徒      U+05F92            349        0.02%
源      U+06E90            349        0.02%
結      U+07D50            349        0.02%
亂      U+04E82            347        0.02%
散      U+06563            347        0.02%
蕭      U+0856D            346        0.02%
鳳      U+09CF3            345        0.02%
端      U+07AEF            344        0.02%
衆      U+08846            343        0.02%
車      U+08ECA            343        0.02%
吹      U+05439            342        0.02%
牛      U+0725B            341        0.02%
念      U+05FF5            339        0.02%
恩      U+06069            339        0.02%
室      U+05BA4            338        0.02%
曉      U+066C9            336        0.02%
遇      U+09047            336        0.02%
友      U+053CB            335        0.02%
佚      U+04F5A            334        0.02%
姓      U+059D3            334        0.02%
橫      U+06A6B            334        0.02%
承      U+0627F            332        0.02%
甲      U+07532            331        0.02%
霞      U+0971E            331        0.02%
顧      U+09867            330        0.02%
佳      U+04F73            329        0.02%
急      U+06025            328        0.02%
憐      U+06190            328        0.02%
細      U+07D30            327        0.02%
傷      U+050B7            325        0.02%
報      U+05831            323        0.02%
仁      U+04EC1            322        0.02%
圓      U+05713            322        0.02%
妙      U+05999            322        0.02%
持      U+06301            322        0.02%
右      U+053F3            321        0.02%
俗      U+04FD7            320        0.02%
吉      U+05409            320        0.02%
機      U+06A5F            320        0.02%
表      U+08868            320        0.02%
號      U+0865F            319        0.02%
乘      U+04E58            318        0.02%
智      U+0667A            317        0.02%
桂      U+06842            317        0.02%
被      U+088AB            317        0.02%
越      U+08D8A            316        0.02%
爭      U+0722D            314        0.02%
獻      U+0737B            314        0.02%
凡      U+051E1            313        0.02%
失      U+05931            313        0.02%
角      U+089D2            313        0.02%
輯      U+08F2F            313        0.02%
建      U+05EFA            312        0.02%
殿      U+06BBF            312        0.02%
貴      U+08CB4            312        0.02%
最      U+06700            311        0.02%
甚      U+0751A            311        0.02%
美      U+07F8E            311        0.02%
蓋      U+084CB            311        0.02%
備      U+05099            310        0.02%
黄      U+09EC4            309        0.02%
待      U+05F85            308        0.02%
蘭      U+0862D            308        0.02%
延      U+05EF6            307        0.02%
敦      U+06566            306        0.02%
極      U+06975            306        0.02%
讀      U+08B80            306        0.02%
飲      U+098F2            306        0.02%
仲      U+04EF2            305        0.02%
錦      U+09326            305        0.02%
沈      U+06C88            304        0.02%
院      U+09662            304        0.02%
各      U+05404            301        0.02%
治      U+06CBB            300        0.02%
封      U+05C01            299        0.02%
嘗      U+05617            298        0.02%
寫      U+05BEB            298        0.02%
悲      U+060B2            298        0.02%
變      U+08B8A            298        0.02%
秀      U+079C0            296        0.02%
迎      U+08FCE            296        0.02%
怪      U+0602A            295        0.02%
煌      U+0714C            295        0.02%
唯      U+0552F            292        0.02%
榮      U+069AE            292        0.02%
跡      U+08DE1            292        0.02%
己      U+05DF1            291        0.02%
危      U+05371            290        0.02%
羽      U+07FBD            288        0.02%
增      U+0589E            287        0.02%
彼      U+05F7C            287        0.02%
桃      U+06843            287        0.02%
種      U+07A2E            287        0.02%
素      U+07D20            285        0.02%
賓      U+08CD3            284        0.02%
並      U+04E26            283        0.02%
維      U+07DAD            283        0.02%
余      U+04F59            281        0.02%
遂      U+09042            281        0.02%
儀      U+05100            280        0.02%
崖      U+05D16            280        0.02%
雁      U+096C1            280        0.02%
館      U+09928            280        0.02%
尊      U+05C0A            279        0.02%
荒      U+08352            279        0.02%
藥      U+085E5            279        0.02%
境      U+05883            278        0.02%
利      U+05229            277        0.02%
卿      U+0537F            277        0.02%
忘      U+05FD8            277        0.02%
格      U+0683C            277        0.02%
憶      U+061B6            276        0.02%
翰      U+07FF0            276        0.02%
丁      U+04E01            275        0.02%
克      U+0514B            273        0.02%
康      U+05EB7            273        0.02%
止      U+06B62            273        0.02%
走      U+08D70            273        0.02%
陶      U+09676            273        0.02%
雄      U+096C4            273        0.02%
骨      U+09AA8            273        0.02%
嶺      U+05DBA            272        0.02%
戶      U+06236            272        0.02%
夕      U+05915            271        0.02%
昭      U+0662D            271        0.02%
逐      U+09010            271        0.02%
宣      U+05BA3            270        0.02%
弟      U+05F1F            270        0.02%
致      U+081F4            270        0.02%
韋      U+097CB            269        0.02%
根      U+06839            268        0.02%
舍      U+0820D            268        0.02%
刺      U+0523A            266        0.02%
受      U+053D7            266        0.02%
